rank,symbol,close,high_252,retracement_pct,ema_200,ret_252,vol_252,volar_score,rs_ratio,rs_ema_200,filter1_pass,filter2_pass,filter3_pass,is_qualified
504,CSBBANK,322.9,574.4,-43.78,369.58,-18.57,45.41,-0.409,0.013314,0.015139,False,False,False,False
505,REFEX,293.95,413.68,-28.94,299.31,-21.72,52.59,-0.4129,0.012121,0.012277,False,False,False,False
506,SOBHA,1294.6,1724.93,-24.95,1401.44,-12.97,31.35,-0.4138,0.053381,0.057444,False,False,False,False
507,DOMS,2202.65,2762.06,-20.25,2325.85,-11.26,27.07,-0.416,0.090823,0.095356,False,False,False,False
508,CHOLAHLDNG,1561.8,2062.37,-24.27,1648.09,-15.43,36.94,-0.4177,0.064399,0.067506,False,False,False,False
509,RENUKA,25.14,33.5,-24.96,24.88,-14.69,35.06,-0.419,0.001037,0.00102,False,True,True,False
510,ESCORTS,3086.6,4112.49,-24.95,3141.26,-12.85,30.58,-0.4201,0.127272,0.128607,False,False,False,False
511,BLUEDART,5083.0,7036.0,-27.76,5256.68,-13.1,30.14,-0.4345,0.209591,0.215427,False,False,False,False
512,CENTRALBK,31.29,40.26,-22.28,33.81,-12.28,28.17,-0.4361,0.00129,0.001386,False,False,False,False
513,DCMSHRIRAM,1082.1,1400.48,-22.73,1096.53,-13.93,31.83,-0.4378,0.044619,0.044956,False,False,False,False
514,RELAXO,376.6,526.0,-28.4,372.24,-19.58,44.37,-0.4413,0.015529,0.015237,False,True,True,False
515,BSOFT,303.75,467.1,-34.97,341.27,-16.65,37.65,-0.4422,0.012525,0.013974,False,False,False,False
516,TRIDENT,24.39,30.31,-19.54,25.5,-13.35,29.98,-0.4452,0.001006,0.001045,True,False,False,False
517,LICHSGFIN,497.0,586.43,-15.25,528.35,-11.01,24.6,-0.4477,0.020493,0.021685,True,False,False,False
518,SHARDACROP,760.9,1282.81,-40.68,902.87,-22.27,49.5,-0.4498,0.031375,0.037053,False,False,False,False
519,GMRP&UI,96.58,136.95,-29.48,105.29,-17.89,39.33,-0.4549,0.003982,0.004318,False,False,False,False
520,AARTIDRUGS,417.4,531.7,-21.5,398.72,-14.49,31.69,-0.4572,0.017211,0.016342,False,True,True,False
521,NBCC,88.42,124.83,-29.17,98.24,-16.09,34.87,-0.4614,0.003646,0.004025,False,False,False,False
522,HCC,21.03,30.0,-29.9,22.06,-23.44,50.55,-0.4638,0.000867,0.000905,False,False,False,False
523,HDBFS,695.85,807.31,-13.81,698.95,-11.76,25.32,-0.4643,0.028692,0.028641,True,False,True,False
524,FINPIPE,160.44,222.5,-27.89,174.44,-13.05,28.11,-0.4643,0.006616,0.007154,False,False,False,False
525,HYUNDAI,2218.8,2862.66,-22.49,2038.63,-13.22,28.24,-0.4682,0.091489,0.083481,False,True,True,False
526,VEDL,279.0,795.0,-64.91,420.47,-34.67,73.99,-0.4686,0.011504,0.017192,False,False,False,False
527,ELECON,451.55,632.51,-28.61,480.65,-21.21,44.86,-0.4729,0.018619,0.01972,False,False,False,False
528,JSLL,505.35,849.5,-40.51,655.39,-26.26,55.15,-0.4761,0.020837,0.026893,False,False,False,False
529,RAILTEL,287.25,408.55,-29.69,314.73,-19.03,39.74,-0.479,0.011844,0.012894,False,False,False,False
530,FSL,276.05,373.25,-26.04,272.89,-23.16,47.86,-0.4839,0.011383,0.011165,False,True,True,False
531,BLUEJET,596.15,787.61,-24.31,533.46,-23.59,48.59,-0.4856,0.024581,0.021859,False,True,True,False
532,SURYAROSNI,219.8,308.07,-28.65,245.93,-19.12,39.17,-0.4881,0.009063,0.010081,False,False,False,False
533,IOB,33.01,41.8,-21.03,34.93,-12.72,25.76,-0.4936,0.001361,0.001432,False,False,False,False
534,VBL,430.1,555.18,-22.53,473.56,-14.62,29.55,-0.4947,0.017735,0.019445,False,False,False,False
535,MGL,1114.2,1341.92,-16.97,1114.91,-14.6,29.36,-0.4971,0.045943,0.045713,True,False,True,False
536,TIMETECHNO,187.48,249.15,-24.75,190.15,-18.43,36.77,-0.5013,0.00773,0.007795,False,False,False,False
537,PCJEWELLER,10.22,15.38,-33.55,9.9,-22.16,44.19,-0.5015,0.000421,0.000406,False,True,True,False
