rank,symbol,close,high_252,retracement_pct,ema_200,ret_252,vol_252,volar_score,rs_ratio,rs_ema_200,filter1_pass,filter2_pass,filter3_pass,is_qualified
270,POONAWALLA,479.05,570.4,-16.02,445.88,5.82,37.3,0.1561,0.019885,0.018281,True,True,True,True
271,ENDURANCE,2929.2,3072.0,-4.65,2641.14,4.78,30.67,0.156,0.12159,0.108383,True,True,True,True
272,AMBER,7675.0,8974.0,-14.48,7399.2,6.17,40.03,0.1541,0.318586,0.303937,True,True,True,True
273,PNGJL,598.0,736.4,-18.79,597.05,5.27,34.25,0.1539,0.024823,0.024501,True,True,True,True
274,CAMS,762.0,837.88,-9.06,753.18,4.01,28.84,0.139,0.03163,0.030919,True,True,True,True
275,INDGN,578.95,594.19,-2.57,518.9,3.47,26.84,0.1292,0.024032,0.021298,True,True,True,True
276,AEGISVOPAK,269.9,311.49,-13.35,241.02,5.84,46.83,0.1247,0.011203,0.009874,True,True,True,True
277,INDIGOPNTS,1151.8,1345.9,-14.42,1035.57,4.35,34.99,0.1243,0.047811,0.042429,True,True,True,True
278,PGEL,585.85,644.4,-9.09,571.72,5.18,42.4,0.1221,0.024318,0.023443,True,True,True,True
279,GAIL,171.1,182.38,-6.18,168.16,2.79,24.91,0.1121,0.007102,0.006901,True,True,True,True
280,SCHAEFFLER,4033.4,4445.0,-9.26,4026.51,3.16,28.46,0.1111,0.167425,0.165392,True,True,True,True
281,KIMS,771.0,858.0,-10.14,739.23,3.38,31.14,0.1085,0.032004,0.030379,True,True,True,True
282,ETERNAL,328.0,368.45,-10.98,279.29,3.18,33.06,0.0961,0.013615,0.011448,True,True,True,True
283,LODHA,1274.0,1340.24,-4.94,1064.69,3.37,36.01,0.0936,0.052883,0.043615,True,True,True,True
284,JBMA,641.55,790.0,-18.79,637.55,3.79,43.92,0.0864,0.02663,0.026186,True,True,True,True
285,BEML,1984.9,2269.47,-12.54,1808.73,3.03,38.74,0.0783,0.082392,0.074183,True,True,True,True
286,AARTIPHARM,840.7,944.1,-10.95,734.06,3.19,44.03,0.0724,0.034897,0.030097,True,True,True,True
287,ICICIBANK,1422.8,1467.63,-3.05,1357.33,1.28,19.02,0.0675,0.05906,0.05569,True,True,True,True
288,SAREGAMA,492.8,574.5,-14.22,438.46,2.22,41.27,0.0537,0.020456,0.018017,True,True,True,True
289,CREDITACC,1391.7,1634.0,-14.83,1378.26,2.11,39.64,0.0531,0.057769,0.056583,True,True,True,True
290,FORTIS,926.75,1103.13,-15.99,921.08,1.28,25.75,0.0498,0.038469,0.037817,True,True,True,True
291,TVSSCS,131.56,146.5,-10.2,123.15,1.99,40.16,0.0496,0.005461,0.005058,True,True,True,True
292,HCG,696.3,804.65,-13.47,642.01,1.47,30.29,0.0486,0.028903,0.026337,True,True,True,True
293,GODREJPROP,2029.1,2340.69,-13.31,1915.36,1.58,34.84,0.0455,0.084227,0.078529,True,True,True,True
294,SAGILITY,46.34,57.7,-19.69,43.18,1.51,35.29,0.0428,0.001924,0.001769,True,True,True,True
295,M&M,3334.0,3799.99,-12.26,3256.51,1.15,27.91,0.0411,0.138393,0.13348,True,True,True,True
296,MAHSEAMLES,661.7,690.0,-4.1,602.33,0.73,23.9,0.0306,0.027467,0.024754,True,True,True,True
297,BALUFORGE,638.8,696.84,-8.33,503.93,1.5,50.79,0.0295,0.026516,0.020646,True,True,True,True
298,LTFOODS,439.35,490.7,-10.46,402.02,1.14,38.94,0.0293,0.018237,0.016499,True,True,True,True
299,OPTIEMUS,579.6,713.0,-18.71,498.97,0.65,48.73,0.0134,0.024059,0.020443,True,True,True,True
300,PREMIERENE,1013.9,1134.0,-10.59,985.63,0.39,33.56,0.0117,0.042087,0.040522,True,True,True,True
301,UNOMINDA,1276.0,1378.85,-7.46,1161.92,0.17,31.69,0.0052,0.052966,0.047639,True,True,True,True
302,DEEPAKFERT,1436.3,1669.61,-13.97,1373.68,0.19,41.19,0.0046,0.05962,0.056417,True,True,True,True
303,LLOYDSENT,73.53,84.7,-13.19,69.02,0.0,51.5,0.0,0.003052,0.002834,True,True,True,True
304,SKIPPER,546.25,593.0,-7.88,489.19,-0.03,39.18,-0.0007,0.022675,0.020097,True,True,True,True
305,ALKYLAMINE,2047.9,2115.06,-3.18,1747.24,-0.4,40.15,-0.0099,0.085007,0.071714,True,True,True,True
306,NIACL,186.34,216.22,-13.82,167.47,-0.49,40.83,-0.0121,0.007735,0.006872,True,True,True,True
307,BALKRISIND,2340.1,2765.38,-15.38,2284.13,-0.45,33.9,-0.0134,0.097136,0.093657,True,True,True,True
308,LOTUSDEV,186.61,207.5,-10.07,155.27,-0.99,43.63,-0.0226,0.007746,0.006365,True,True,True,True
309,PRESTIGE,1588.0,1802.93,-11.92,1520.9,-1.07,32.55,-0.0328,0.065917,0.062342,True,True,True,True
310,CONCOR,516.0,561.44,-8.09,498.88,-0.9,26.57,-0.0339,0.021419,0.020463,True,True,True,True
311,KAJARIACER,1215.5,1285.37,-5.44,1123.89,-1.06,28.42,-0.0373,0.050455,0.046159,True,True,True,True
312,KRBL,437.65,474.85,-7.83,366.4,-2.05,40.73,-0.0502,0.018167,0.015023,True,True,True,True
313,DELHIVERY,470.2,524.0,-10.27,451.14,-1.73,30.42,-0.057,0.019518,0.018532,True,True,True,True
