rank,symbol,sector,close,high_252,distance_52wh_pct,ema_200,ema_200_ratio,ret_252,vol_252,volar_score,volume,is_delisted,filter1_pass,filter2_pass,filter3_pass,is_qualified,rrg_rs_ratio,rrg_rs_momentum,rrg_quadrant,passed_rrg
516,VEDL,METALS,287.95,795.0,-63.78,413.56,0.6963,-31.63,74.15,-0.4266,19438996.0,False,False,False,False,False,106.17,106.07,LEADING,True
517,DOMS,FMCG,2198.9,2762.06,-20.39,2319.49,0.948,-11.55,27.03,-0.4272,25988.0,False,False,False,False,False,97.86,100.59,IMPROVING,True
518,CHOLAHLDNG,FINSERV,1498.8,2062.37,-27.33,1642.59,0.9125,-15.94,36.88,-0.4323,191026.0,False,False,False,False,False,94.76,97.28,LAGGING,True
519,IONEXCHANG,INFRA_MEDIA,370.2,486.0,-23.83,393.19,0.9415,-17.16,39.57,-0.4336,116406.0,False,False,False,False,False,91.92,99.93,LAGGING,True
520,AFFLE,IT,1620.2,2185.9,-25.88,1578.75,1.0263,-14.49,33.19,-0.4365,133536.0,False,False,True,True,False,103.81,94.84,WEAKENING,True
521,LXCHEM,CHEMICALS,171.34,240.59,-28.78,162.96,1.0514,-18.9,42.81,-0.4416,563267.0,False,False,True,True,False,100.68,98.53,WEAKENING,True
522,ESCORTS,CAPGOODS,3015.5,4112.49,-26.67,3136.56,0.9614,-13.69,30.74,-0.4453,65907.0,False,False,False,False,False,101.02,98.1,WEAKENING,True
523,BSOFT,IT,300.9,467.1,-35.58,338.8,0.8881,-16.86,37.83,-0.4456,3235524.0,False,False,False,False,False,101.65,101.24,LEADING,True
524,LTTS,IT,3568.7,4673.3,-23.64,3604.15,0.9902,-16.19,35.87,-0.4515,48168.0,False,False,False,True,False,104.76,100.43,LEADING,True
525,RAILTEL,INFRA_MEDIA,278.9,408.55,-31.73,313.03,0.891,-17.91,39.62,-0.4519,365408.0,False,False,False,False,False,95.06,100.71,IMPROVING,True
526,REFEX,INFRA_MEDIA,287.55,413.68,-30.49,298.73,0.9626,-24.06,52.7,-0.4565,195240.0,False,False,False,False,False,90.91,99.2,LAGGING,True
527,GMRP&UI,ENERGY,93.35,136.95,-31.84,104.78,0.8909,-17.96,39.09,-0.4593,3307470.0,False,False,False,False,False,95.62,98.31,LAGGING,True
528,ANUP,CAPGOODS,1800.5,2559.39,-29.65,2048.55,0.8789,-20.62,44.71,-0.4612,21172.0,False,False,False,False,False,87.29,101.49,IMPROVING,True
529,EIEL,INFRA_MEDIA,199.23,276.1,-27.84,204.88,0.9724,-22.1,47.37,-0.4665,296099.0,False,False,False,False,False,92.18,101.05,IMPROVING,True
530,FSL,INFRA_MEDIA,269.3,371.59,-27.53,272.72,0.9875,-22.26,47.66,-0.467,683316.0,False,False,False,True,False,101.61,99.05,WEAKENING,True
531,MOIL,METALS,258.25,398.62,-35.21,299.5,0.8623,-18.93,40.05,-0.4728,617417.0,False,False,False,False,False,94.96,101.59,IMPROVING,True
532,GMMPFAUDLR,CAPGOODS,1026.7,1304.86,-21.32,929.54,1.1045,-15.42,32.27,-0.478,60107.0,False,False,True,True,False,118.25,98.64,WEAKENING,True
533,TEXRAIL,CAPGOODS,109.44,153.0,-28.47,114.07,0.9594,-20.5,42.71,-0.48,2601407.0,False,False,False,False,False,99.39,103.5,IMPROVING,True
534,CAMPUS,CONSDUR,226.14,294.65,-23.25,240.48,0.9404,-12.82,26.61,-0.4816,428622.0,False,False,False,False,False,100.84,101.9,LEADING,True
535,JSLL,CONSDUR,512.5,849.5,-39.67,646.97,0.7922,-26.59,54.92,-0.4841,361458.0,False,False,False,False,False,91.98,102.34,IMPROVING,True
536,RENUKA,FMCG,24.14,33.5,-27.94,24.85,0.9716,-17.24,35.42,-0.4868,30588379.0,False,False,False,False,False,106.45,99.17,WEAKENING,True
537,DATAMATICS,IT,791.9,1048.31,-24.46,795.42,0.9956,-20.24,41.37,-0.4892,54584.0,False,False,False,True,False,95.34,97.78,LAGGING,True
538,SOBHA,REALTY,1270.2,1724.93,-26.36,1395.69,0.9101,-15.31,31.22,-0.4902,42616.0,False,False,False,False,False,92.35,99.58,LAGGING,True
539,SURYAROSNI,CAPGOODS,220.46,308.07,-28.44,244.64,0.9012,-19.28,38.47,-0.5012,313345.0,False,False,False,False,False,92.49,102.73,IMPROVING,True
540,DEVYANI,CONSDUR,139.94,191.0,-26.73,127.06,1.1014,-19.62,39.03,-0.5026,2546557.0,False,False,True,True,False,113.9,94.36,WEAKENING,True
541,IRB,REALTY,19.07,23.84,-19.99,20.74,0.9194,-12.89,25.65,-0.5026,5016562.0,False,True,False,False,False,95.77,101.48,IMPROVING,True
542,SUNTECK,REALTY,306.0,472.5,-35.24,339.2,0.9021,-21.01,41.8,-0.5027,77659.0,False,False,False,False,False,99.08,101.55,IMPROVING,True
543,WAAREEENER,CAPGOODS,2640.0,3862.83,-31.66,2939.13,0.8982,-19.1,37.59,-0.5083,488508.0,False,False,False,False,False,95.54,100.86,IMPROVING,True
544,MGL,ENERGY,1092.6,1341.92,-18.58,1114.29,0.9805,-15.22,29.56,-0.5149,270473.0,False,True,False,False,False,98.9,99.02,LAGGING,True
545,POWERMECH,REALTY,2580.6,3233.59,-20.19,2494.53,1.0345,-19.82,38.44,-0.5155,45314.0,False,False,True,True,False,99.78,104.98,IMPROVING,True
546,KITEX,CONSDUR,128.4,232.7,-44.82,164.73,0.7794,-27.87,53.92,-0.5169,295487.0,False,False,False,False,False,88.53,103.34,IMPROVING,True
547,ELECON,CAPGOODS,425.25,632.51,-32.77,478.03,0.8896,-23.17,44.72,-0.518,259116.0,False,False,False,False,False,91.66,100.62,IMPROVING,True
548,RELAXO,CONSDUR,356.75,526.0,-32.18,371.8,0.9595,-23.39,44.35,-0.5274,169422.0,False,False,False,False,False,90.39,95.99,LAGGING,True
