step_name,use_filter_3,ranking_mode,use_regime_filter,exit_buffer,cagr,max_dd,sharpe,sortino,turnover_pct,trades,r3_residual,description,cagr_delta,max_dd_delta,turnover_delta,gate26_status
Step 1 (Raw Base),False,raw,False,0% (Rank 20),26.48,51.3,0.94,1.01,859.4624676727781,1035,1.4901161193847656e-08,"Baseline: 20% retracement + 200 EMA + Top 20 equal-weight (Exit rank 21, no regime filter, raw 252d return)",0.0,0.0,0.0,BASELINE
Step 2 (+ Relative Strength),True,raw,False,0% (Rank 20),26.12,51.33,0.93,1.0,865.9593851188993,1046,1.4901161193847656e-08,Add Filter 3: Stock / NIFTY 500 ratio > 200 EMA,-0.35999999999999943,0.030000000000001137,6.496917446121188,PASS
Step 3 (+ Volar Ranking),True,volar,False,0% (Rank 20),26.32,44.88,1.05,1.18,839.0808299722788,985,-5.960464477539063e-08,Replace with Volatility-Adjusted Return (Return_252 / sigma_252),0.1999999999999993,-6.449999999999996,-26.878555146620442,PASS
Step 4 (+ Market Regime Filter),True,volar,True,0% (Rank 20),24.44,32.36,1.08,1.22,660.8356438834554,787,-4.470348358154297e-08,"Add NIFTY 500 < 20 EMA cash rule (pause buys, exit dropouts)",-1.879999999999999,-12.520000000000003,-178.2451860888234,PASS
Step 5 (+ Exit Rank Buffer),True,volar,True,100% (Rank 40),25.21,36.17,1.04,1.2,469.79954013542715,546,-1.4901161193847656e-08,Add Exit Rank 40 (100% buffer: keep existing positions if rank <= 40),0.7699999999999996,3.8100000000000023,-191.03610374802827,PASS
