period,start_date,end_date,strategy_cagr,strategy_max_dd,strategy_sharpe,strategy_sortino,benchmark_cagr,excess_cagr_pp,trades,gate32_status
Modern Era (2021-2026),2021-01-04,2026-08-31,15.48,19.11,1.07,1.28,10.61,4.87,31,PASS
Recent Era (2022-2026),2022-01-03,2026-08-31,14.2,18.96,0.97,1.15,7.66,6.54,25,PASS
