year,month,strategy_return,benchmark_return,excess_return
2016,1,0.0,-2.9231322848464636,2.9231322848464636
2016,2,-8.378472643807012,-7.622082420118592,-0.7563902236884195
2016,3,7.78713451704478,10.753467037721443,-2.966332520676662
2016,4,0.9106579464460252,1.439572828357072,-0.5289148819110467
2016,5,3.6819724136808896,3.9529707851078566,-0.27099837142696703
2016,6,5.673901527365222,1.5643178492432241,4.109583678121997
2016,7,10.45951547558317,4.232149859732748,6.227365615850423
2016,8,3.7320401899269884,1.709789839815934,2.0222503501110545
2016,9,-6.816474785677496,-1.9923266121444683,-4.824148173533027
2016,10,4.750170887451888,0.31180049304715407,4.438370394404734
2016,11,-8.990815315748824,-4.78698772864089,-4.203827587107934
2016,12,-3.2786893905267234,-0.4705476966684885,-2.808141693858235
2017,1,4.266250300516772,4.587212110720995,-0.3209618102042233
2017,2,4.314666460458816,3.7178911140715254,0.5967753463872905
2017,3,10.24857059197788,3.312653763289486,6.935916828688393
2017,4,3.6131219266732018,1.4203548678294098,2.192767058843792
2017,5,0.8846621277307509,3.409270177731538,-2.5246080500007873
2017,6,2.0439790717117434,-1.042999707678316,3.0869787793900594
2017,7,3.6124199020877823,5.841876250461309,-2.2294563483735264
2017,8,3.871616153752422,-1.57981189946651,5.451428053218931
2017,9,7.490680389886406,-1.3037112307784704,8.794391620664877
2017,10,16.641402742859057,5.5850705629935105,11.056332179865546
2017,11,5.383660095469467,-1.0522191136698056,6.435879209139273
2017,12,6.162661546827453,2.9741251588643047,3.188536387963148
2018,1,-1.5575813580599784,4.719534226425215,-6.277115584485193
2018,2,-4.036613179909776,-4.850064623309647,0.8134514433998712
2018,3,-6.382287300962409,-3.6134074934586202,-2.7688798075037884
2018,4,5.596802615528196,6.186157410049353,-0.5893547945211575
2018,5,-4.605541217582909,-0.02978968807577642,-4.575751529507132
2018,6,-4.824946283248499,-0.20352347109985347,-4.621422812148646
2018,7,3.9062738430661437,5.993860607032264,-2.0875867639661205
2018,8,12.65100798013792,2.8529916787742637,9.798016301363656
2018,9,-17.594032997364906,-6.421384398677288,-11.172648598687617
2018,10,-2.0398467682431587,-4.975555226176587,2.935708457933428
2018,11,-1.7671201211286514,4.7190650362856745,-6.486185157414326
2018,12,-0.7933652006163916,-0.1305554996896996,-0.662809700926692
2019,1,-2.355133926023445,-0.2909041610227092,-2.0642297650007357
2019,2,-0.9992130313860148,-0.3550029740616911,-0.6442100573243237
2019,3,4.314179078731861,7.204076905258283,-2.889897826526422
2019,4,1.7687877024555654,1.5397613710026015,0.22902633145296392
2019,5,4.013213870416554,1.486612004915,2.5266018655015543
2019,6,-0.006377113735211992,-1.1234793631260787,1.1171022493908667
2019,7,-8.79418173865104,-5.690543450834351,-3.1036382878166897
2019,8,0.404107552723465,-0.852221622593996,1.256329175317461
2019,9,4.00902236580345,4.093168487628418,-0.08414612182496839
2019,10,4.799865694156535,3.512150849411788,1.2877148447447473
2019,11,-0.5387183207423929,1.5036864515372672,-2.04240477227966
2019,12,2.604889283945533,0.9323152479122854,1.6725740360332475
2020,1,8.213796827458841,-1.695783625896663,9.909580453355504
2020,2,-5.968237536640276,-6.35632233641571,0.3880847997754344
2020,3,-16.497963821680493,-23.24636775503828,6.748403933357785
2020,4,0.5145161730504277,14.680008032624814,-14.165491859574386
2020,5,-0.2627891395764137,-2.8357343873711915,2.572945247794778
2020,6,5.02837306927828,7.534208943381238,-2.5058358741029574
2020,7,8.579397259785981,7.487314384298549,1.0920828754874323
2020,8,8.233625257528555,2.836061021166114,5.397564236362441
2020,9,-21.866798323815683,-1.228980858946216,-20.637817464869467
2020,10,-0.8230919251444924,3.5105475663058883,-4.333639491450381
2020,11,14.54724454014018,11.39412629852259,3.153118241617591
2020,12,1.0475328903016612,7.809420110608234,-6.761887220306573
2021,1,-1.6628726755938072,-2.4828822616982826,0.8200095861044754
2021,2,11.267524381339777,6.560887791929848,4.706636589409929
2021,3,8.227107180185932,1.11190124917242,7.115205931013512
2021,4,4.853265969751197,-0.4057028265849305,5.258968796336127
2021,5,6.8407591557609,6.504638890590897,0.3361202651700035
2021,6,4.078308675035758,0.8900852032429851,3.1882234717927727
2021,7,-0.4177041774751089,0.2642865164742547,-0.6819906939493636
2021,8,2.1172517079617315,8.685815441979706,-6.5685637340179746
2021,9,8.909832132399242,2.836478642760354,6.073353489638888
2021,10,1.793837787864394,0.3036641123716821,1.490173675492712
2021,11,5.701170478084894,-3.8957944315163195,9.596964909601214
2021,12,11.139326487422752,2.1836378277336976,8.955688659689054
2022,1,3.9068166971534923,-0.08183202904040732,3.9886487261938997
2022,2,-12.741109463456157,-3.148523378512036,-9.59258608494412
