symbol,buy_date,buy_price,sell_date,sell_price,shares,cost_basis,net_pnl,return_pct,holding_days,exit_reason,total_friction
PFOCUS,2026-05-04,309.36,2026-06-02,227.76,11276,3488332.51,-929748.83,-26.65,29,r2_exit,9660.81
DATAPATTNS,2026-05-04,4125.14,2026-06-02,3812.86,845,3485741.52,-274968.2,-7.89,29,rank_exit,11096.46
RBLBANK,2025-11-04,328.48,2026-07-02,362.1,9743,3200366.79,316122.86,9.88,240,rank_exit,11442.21
GMDCLTD,2026-01-02,602.5,2026-07-02,612.39,5574,3358345.73,43727.67,1.3,181,rank_exit,11371.74
NATIONALUM,2026-05-04,396.41,2026-07-02,334.31,8800,3488423.97,-556937.25,-15.97,59,r2_exit,10483.48
GVT&D,2025-11-04,3200.18,2026-08-04,4354.85,1000,3200183.9,1141405.25,35.67,273,r2_exit,13262.05
MCX,2025-12-02,2039.84,2026-08-04,2646.56,1773,3616644.64,1061222.13,29.34,245,r2_exit,14483.4
APARINDS,2026-05-04,12557.54,2026-08-04,14805.18,277,3478439.96,609571.78,17.52,92,rank_exit,13023.11
ANANDRATHI,2026-05-04,1808.26,2026-08-04,2049.15,1929,3488138.51,451961.42,12.96,92,rank_exit,12708.01
SCHNEIDER,2026-05-04,1249.25,2026-08-04,1339.76,2792,3487900.42,240465.68,6.89,92,rank_exit,12240.68
GABRIEL,2026-07-02,1244.57,2026-08-04,1522.32,2513,3127606.44,685978.07,21.93,33,rank_exit,12013.77
CARTRADE,2026-07-02,2782.78,2026-08-04,2801.2,1124,3127844.72,10175.74,0.33,33,rank_exit,10523.85
