symbol,buy_date,buy_price,sell_date,sell_price,shares,cost_basis,net_pnl,return_pct,holding_days,exit_reason,total_friction
UJJIVANSFB,2023-08-02,49.02,2023-11-02,51.15,37854,1855756.15,73999.29,3.99,92,rank_exit,6393.73
MAZDOCK,2023-05-03,380.29,2023-12-04,1000.97,3855,1466005.35,2382548.1,162.52,215,rank_exit,10177.51
ANANTRAJ,2023-04-05,125.01,2024-02-02,315.33,9937,1242225.76,1882844.82,151.57,303,rank_exit,8323.92
FACT,2023-05-03,348.9,2024-02-02,839.49,4201,1465722.07,2051535.15,139.97,275,rank_exit,9446.39
JSL,2023-06-02,290.04,2024-02-02,565.03,5295,1535768.71,1447735.24,94.27,245,rank_exit,8349.67
KALYANKJIL,2023-12-04,338.59,2024-02-02,334.09,6702,2269217.05,-37713.72,-1.66,60,rank_exit,7535.46
APARINDS,2022-11-02,1407.64,2024-03-04,6181.87,1115,1569518.02,5306289.89,338.08,488,rank_exit,16974.4
RVNL,2023-04-05,73.62,2024-03-04,246.68,16874,1242250.61,2909717.95,234.23,334,r2_exit,10589.14
RKFORGE,2023-08-02,557.24,2024-03-04,784.27,3330,1855609.41,748126.57,40.32,215,rank_exit,7880.27
IFCI,2024-02-02,63.56,2024-03-04,45.9,46593,2961614.16,-830917.13,-28.06,31,r2_exit,8110.41
ZENTEC,2023-08-02,628.64,2024-04-02,958.61,2952,1855732.22,965723.68,52.04,244,rank_exit,8360.67
HBLENGINE,2023-09-04,274.54,2024-04-02,461.82,5644,1549514.22,1049477.09,67.73,211,r2_exit,7517.32
TITAGARH,2023-04-05,278.02,2024-05-03,1057.11,4468,1242184.53,3469140.73,279.28,394,rank_exit,11822.93
OLECTRA,2024-03-04,1977.78,2024-05-03,1730.09,1991,3937765.62,-505259.24,-12.83,60,rank_exit,12106.09
JINDALSAW,2023-06-02,118.01,2024-06-04,267.78,13014,1535805.92,1939617.35,126.29,368,rank_exit,9434.82
NEULANDLAB,2023-06-02,2757.05,2024-06-04,6135.55,557,1535677.8,1872539.89,121.94,368,r2_exit,9286.43
NEWGEN,2023-12-04,721.21,2024-06-04,883.4,3146,2268920.39,501520.27,22.1,183,rank_exit,8723.94
CHENNPETRO,2023-12-04,609.8,2024-06-04,873.27,3721,2269078.3,970583.25,42.77,183,rank_exit,9759.15
SCHNEIDER,2024-04-02,817.82,2024-06-04,743.66,3309,2706156.45,-253925.5,-9.38,63,r2_exit,8525.5
ACE,2024-04-02,1605.64,2024-06-04,1443.28,1685,2705495.24,-282031.16,-10.42,63,rank_exit,8461.29
TITAGARH,2024-06-04,1484.96,2024-08-02,1535.8,1994,2961008.87,91223.99,3.08,59,rank_exit,10142.49
MAZDOCK,2024-06-04,1580.66,2024-08-02,2453.35,1874,2962163.91,1621895.89,54.75,59,rank_exit,13522.81
SJVN,2024-06-04,137.35,2024-08-02,137.08,21566,2962160.59,-15828.33,-0.53,59,rank_exit,9910.22
JWL,2023-12-04,344.36,2024-09-03,552.35,6589,2268999.56,1359819.04,59.93,274,r2_exit,10617.49
RECLTD,2023-12-04,342.06,2024-09-03,561.99,6634,2269215.17,1448181.67,63.82,274,rank_exit,10813.12
PFC,2023-12-04,341.16,2024-09-03,500.68,6651,2269038.13,1051030.73,46.32,274,rank_exit,9936.47
ANANDRATHI,2023-12-04,663.89,2024-09-03,928.48,3418,2269179.67,894786.76,39.43,274,rank_exit,9592.3
COCHINSHIP,2024-05-03,1315.83,2024-09-03,1873.68,3095,4072509.25,1709098.93,41.97,123,r2_exit,17443.03
HBLENGINE,2024-06-04,501.11,2024-09-03,634.8,5911,2962041.42,778615.38,26.29,91,rank_exit,11662.25
IRFC,2024-02-02,167.0,2024-10-03,148.23,17734,2961572.96,-342066.81,-11.55,244,r2_exit,9188.61
FORCEMOT,2024-03-04,6625.14,2024-10-03,7596.56,594,3935331.97,562570.16,14.3,213,r2_exit,14453.4
HUDCO,2024-03-04,182.59,2024-10-03,217.0,21575,3939337.52,727701.1,18.47,213,r2_exit,14831.1
IFCI,2024-06-04,60.96,2024-10-03,63.39,48593,2962273.09,107686.52,3.64,121,r2_exit,10183.05
