period,start_date,end_date,duration_years,trading_days,snapshots,strategy_cagr,benchmark_cagr,excess_cagr,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,win_rate_pct,profit_factor,total_trades,residual
In-Sample (IS),2007-01-02,2015-12-31,8.99,2220,108,24.72,8.09,16.63,51.85,1.04,1.3,0.48,49.15,3.1,236,0.0
Out-of-Sample (OOS),2016-01-04,2026-08-31,10.66,2636,128,22.97,11.14,11.83,45.92,0.82,0.89,0.5,45.42,1.98,557,-1.4901161193847656e-08
