aum_tier,aum_inr,cagr,max_dd,turnover_pct,trades,median_adv_pct,p95_adv_pct,max_adv_pct,pct_orders_gt_10_adv,pct_orders_gt_20_adv,viable_capacity,gate31_status
₹1 Crore (Retail / HNI),10000000.0,25.63,34.35,455.7226903067525,1056,0.08920321160914568,1.9499992748400565,12.300958641814645,0.1893939393939394,0.0,YES,PASS
₹5 Crore (Emerging PMS),50000000.0,25.63,34.35,455.7746400605773,1056,0.4460160580457284,9.749996374200283,61.50479320907323,4.829545454545454,2.083333333333333,YES,PASS
₹10 Crore (Target Institutional Mandate),100000000.0,25.63,34.35,455.7787153512341,1056,0.8920321160914568,19.499992748400565,123.00958641814645,10.321969696969697,4.829545454545454,YES,PASS
₹25 Crore (Scaled Fund Tier),250000000.0,25.63,34.35,455.78456144783337,1056,2.230080290228642,48.74998187100141,307.52396604536614,20.928030303030305,12.784090909090908,PARTIAL,MONITOR
