peak_date,trough_date,recovery_date,peak_value,trough_value,drawdown_depth_pct,days_to_trough,recovery_from_trough_days,recovery_from_trough_years,total_underwater_days,total_underwater_months,total_underwater_years,status
2017-09-07,2017-09-08,2017-09-11,15494798.07,15443923.19,-0.33,1,3,0.01,4,0.1,0.01,RECOVERED
2021-12-29,2021-12-30,2021-12-31,30212758.91,30130805.76,-0.27,1,1,0.0,2,0.1,0.01,RECOVERED
2024-04-25,2024-04-26,2024-04-29,72439934.14,72277259.45,-0.22,1,3,0.01,4,0.1,0.01,RECOVERED
2023-11-15,2023-11-16,2023-11-17,55101496.01,54992022.22,-0.2,1,1,0.0,2,0.1,0.01,RECOVERED
2023-07-03,2023-07-04,2023-07-05,37866845.13,37829241.43,-0.1,1,1,0.0,2,0.1,0.01,RECOVERED
2024-01-11,2024-01-12,2024-01-15,61176008.64,61126900.22,-0.08,1,3,0.01,4,0.1,0.01,RECOVERED
2023-07-17,2023-07-18,2023-07-19,40760128.36,40735924.34,-0.06,1,1,0.0,2,0.1,0.01,RECOVERED
2023-08-10,2023-08-11,2023-08-14,44547014.77,44536787.05,-0.02,1,3,0.01,4,0.1,0.01,RECOVERED
2017-10-13,2017-10-16,2017-10-17,17508000.65,17506705.78,-0.01,3,1,0.0,4,0.1,0.01,RECOVERED
2023-06-27,2023-06-28,2023-06-30,36980318.6,36976536.57,-0.01,1,2,0.01,3,0.1,0.01,RECOVERED
