symbol,category,held_in_run_a,held_in_run_b,pnl_in_run_a,pnl_in_run_b,pnl_delta_b_minus_a
RELAXO,held_in_both,True,True,-282360.35,-229526.95,52833.4
DRREDDY,held_in_both,True,True,232200.0,286172.5,53972.5
DCMSHRIRAM,held_in_both,True,True,-147824.2,-89057.7,58766.5
AVANTIFEED,held_in_both,True,True,-3691.33,55873.33,59564.67
BSOFT,held_in_b_only,False,True,0.0,61023.5,61023.5
INTELLECT,held_in_both,True,True,-438987.65,-374066.65,64921.0
ADVENZYMES,held_in_a_only,True,False,-66380.53,0.0,66380.53
UPL,held_in_both,True,True,20789.07,88745.4,67956.33
ALKYLAMINE,held_in_both,True,True,270065.05,341801.75,71736.7
JKCEMENT,held_in_both,True,True,-278960.0,-204600.0,74360.0
UJJIVAN,held_in_a_only,True,False,-93671.4,0.0,93671.4
DELTACORP,held_in_both,True,True,-421403.45,-326092.8,95310.65
RAIN,held_in_both,True,True,1361112.1,1458932.3,97820.2
MAHSCOOTER,held_in_both,True,True,68041.2,166000.5,97959.3
CHAMBLFERT,held_in_b_only,False,True,0.0,98061.9,98061.9
TATASTEEL,held_in_both,True,True,91470.6,198616.8,107146.2
ITDC,held_in_a_only,True,False,-107945.7,0.0,107945.7
BBTC,held_in_both,True,True,-42469.1,68785.55,111254.65
NILKAMAL,held_in_a_only,True,False,-115020.0,0.0,115020.0
DEEPAKNTR,held_in_both,True,True,-73173.5,46721.1,119894.6
BOMDYEING,held_in_both,True,True,20280.95,140942.9,120661.95
MANAPPURAM,held_in_both,True,True,502248.2,636681.4,134433.2
SUNTECK,held_in_both,True,True,-72456.12,66095.08,138551.2
IFBIND,held_in_both,True,True,-349175.45,-210461.5,138713.95
SONATSOFTW,held_in_both,True,True,-142899.0,758.8,143657.8
DHFL,held_in_b_only,False,True,0.0,165531.8,165531.8
LTTS,held_in_both,True,True,-115920.0,58156.0,174076.0
ARVINDFASN,held_in_a_only,True,False,-177567.0,0.0,177567.0
JMFINANCIL,held_in_both,True,True,-55986.3,122013.5,177999.8
CREDITACC,held_in_both,True,True,-421736.2,-239292.0,182444.2
BAJFINANCE,held_in_both,True,True,-458114.75,-275320.15,182794.6
BAJAJFINSV,held_in_b_only,False,True,0.0,193578.0,193578.0
SHARDACROP,held_in_b_only,False,True,0.0,203877.0,203877.0
ZYDUSWELL,held_in_a_only,True,False,-211252.2,0.0,211252.2
YESBANK,held_in_b_only,False,True,0.0,214468.56,214468.56
BALKRISIND,held_in_both,True,True,-2015.9,219200.0,221215.9
KEC,held_in_both,True,True,-153932.0,77691.7,231623.7
CGCL,held_in_both,True,True,-303829.2,-67716.9,236112.3
JAMNAAUTO,held_in_a_only,True,False,-263917.96,0.0,263917.96
MERCK,held_in_b_only,False,True,0.0,267097.8,267097.8
COROMANDEL,held_in_both,True,True,103320.0,382263.6,278943.6
NIITTECH,held_in_b_only,False,True,0.0,288673.0,288673.0
MUTHOOTFIN,held_in_both,True,True,-156021.4,149515.75,305537.15
VEDL,held_in_b_only,False,True,0.0,315670.8,315670.8
IRCTC,held_in_a_only,True,False,-353015.2,0.0,353015.2
FLFL,held_in_b_only,False,True,0.0,407745.4,407745.4
