symbol,has_ca_event,ca_event_count
NESTLEIND,False,0
NETWORK18,False,0
NFL,False,0
NH,False,0
NHPC,False,0
NIACL,True,1
NILKAMAL,False,0
NLCINDIA,False,0
NMDC,False,0
NOCIL,False,0
NOIDATOLL,False,0
NTPC,True,1
OBEROIRLTY,False,0
OFSS,False,0
OIL,True,2
OMAXE,False,0
ONGC,True,1
ORIENTELEC,False,0
PAGEIND,False,0
PARAGMILK,False,0
PATELENG,False,0
PCJEWELLER,True,1
PENIND,False,0
PENINLAND,False,0
PERSISTENT,False,0
PETRONET,True,1
PFC,True,1
PGHL,False,0
PIDILITIND,False,0
PIIND,False,0
PNB,False,0
PNBHOUSING,False,0
PNCINFRA,True,1
POLYCAB,False,0
POLYMED,True,1
POWERGRID,False,0
PRAJIND,False,0
PRAKASH,False,0
PRESTIGE,False,0
PSB,False,0
PTC,False,0
QUESS,False,0
RADICO,False,0
RADIOCITY,True,2
RAIN,False,0
RAJESHEXPO,False,0
RALLIS,False,0
RAMCOCEM,False,0
RAMCOSYS,False,0
RATNAMANI,False,0
RAYMOND,False,0
RBLBANK,False,0
RCF,False,0
RCOM,False,0
RECLTD,True,1
RELAXO,True,1
RELIANCE,True,1
RELIGARE,False,0
RELINFRA,False,0
RENUKA,False,0
REPCOHOME,False,0
RESPONIND,False,0
RHFL,False,0
RIIL,False,0
RITES,True,1
RKFORGE,False,0
RPOWER,False,0
RTNPOWER,False,0
RUPA,False,0
RVNL,False,0
SADBHIN,False,0
SAREGAMA,False,0
SBICARD,False,0
SBILIFE,False,0
SBIN,False,0
SCHAEFFLER,False,0
SCHNEIDER,False,0
SCI,False,0
SFL,False,0
SHANKARA,False,0
SHANTIGEAR,False,0
SHARDACROP,False,0
SHILPAMED,False,0
SHK,False,0
SHOPERSTOP,False,0
SHREECEM,False,0
SIEMENS,False,0
SIMPLEXINF,False,0
SITINET,False,0
SJVN,False,0
SNOWMAN,False,0
SOBHA,False,0
SOLARINDS,False,0
SOMANYCERA,False,0
SONATSOFTW,False,0
SPANDANA,False,0
SPARC,False,0
STAR,False,0
STARCEMENT,False,0
STLTECH,False,0
SUDARSCHEM,False,0
SUMICHEM,False,0
SUNDARMFIN,False,0
SUNPHARMA,False,0
SUNTECK,True,1
SUNTV,False,0
SUPRAJIT,False,0
SUPREMEINF,False,0
SUVEN,False,0
SUZLON,False,0
SWARAJENG,False,0
SYMPHONY,True,1
SYNGENE,True,1
TASTYBITE,False,0
TATACOMM,False,0
TATACONSUM,False,0
TATAINVEST,False,0
TATAPOWER,False,0
TBZ,False,0
TCI,False,0
TCIEXP,False,0
TCS,True,1
TDPOWERSYS,False,0
TEAMLEASE,False,0
TECHM,False,0
TECHNOE,False,0
THERMAX,False,0
THYROCARE,False,0
TIMETECHNO,False,0
TIMKEN,False,0
TITAN,False,0
TNPL,False,0
TORNTPOWER,False,0
TREEHOUSE,False,0
TRIDENT,True,1
TRITURBINE,False,0
TTKPRESTIG,True,1
TTML,False,0
TVSSRICHAK,False,0
TVTODAY,False,0
UBL,False,0
UCOBANK,False,0
