symbol,ex_date,action_type,ratio,source_url,fetched_at
KARURVYSYA,2018-08-14,bonus,0.1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
TIRUMALCHM,2018-08-14,split,10.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
INFY,2018-09-04,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
ZENSARTECH,2018-09-07,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
GLAXO,2018-09-11,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
GODREJCP,2018-09-12,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
IGARASHI,2018-09-27,bonus,0.12376237623762376,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
JMCPROJECT,2018-10-04,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
CUPID,2018-10-11,bonus,0.2,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
APOLSINHOT,2018-10-12,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
IEX,2018-10-19,split,10.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
DAMODARIND,2018-10-25,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
MOTHERSON,2018-10-30,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
JINDWORLD,2018-10-31,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
DFMFOODS,2018-11-01,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
SAKUMA,2018-11-12,split,10.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
BRITANNIA,2018-11-29,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-12-2018,2026-09-24 14:42:34 UTC
GUJENERGY,2019-01-15,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
CONCOR,2019-02-04,bonus,0.25,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
RADIOCITY,2019-02-20,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
WIPRO,2019-03-06,bonus,0.3333333333333333,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
NTPC,2019-03-19,bonus,0.2,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
JMA,2019-05-14,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
TTKPRESTIG,2019-05-15,bonus,0.2,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
SYNGENE,2019-06-11,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
BIOCON,2019-06-12,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
CHOLAFIN,2019-06-14,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
RELAXO,2019-06-26,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
AVADHSUGAR,2019-06-27,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
MAGADSUGAR,2019-06-27,bonus,0.4,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
UPL,2019-07-02,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
APCOTEXIND,2019-07-04,split,2.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
GAIL,2019-07-09,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
BHAGERIA,2019-07-17,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
VBL,2019-07-25,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
RITES,2019-08-08,bonus,0.25,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
SESHAPAPER,2019-08-19,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
SWELECTES,2019-08-22,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
BRIGADE,2019-08-28,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
ASTRAL,2019-09-16,bonus,0.25,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
HDFCBANK,2019-09-19,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
AARTIIND,2019-09-27,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
SATIA,2019-10-15,split,10.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
IMPAL,2019-10-25,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
HCLTECH,2019-12-05,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
TRIDENT,2019-12-13,split,10.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
BALMLAWRIE,2019-12-26,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-12-2019,2026-09-24 14:42:34 UTC
SIS,2020-01-15,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2020&to_date=14-09-2020,2026-09-24 14:42:34 UTC
VINATIORGA,2020-02-05,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2020&to_date=14-09-2020,2026-09-24 14:42:34 UTC
RADIOCITY,2020-03-12,bonus,0.25,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2020&to_date=14-09-2020,2026-09-24 14:42:34 UTC
KTKBANK,2020-03-17,bonus,0.1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2020&to_date=14-09-2020,2026-09-24 14:42:34 UTC
IRCON,2020-04-03,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2020&to_date=14-09-2020,2026-09-24 14:42:34 UTC
MOTOGENFIN,2020-06-19,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2020&to_date=14-09-2020,2026-09-24 14:42:34 UTC
DHARAN,2020-07-02,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2020&to_date=14-09-2020,2026-09-24 14:42:34 UTC
KUANTUM,2020-07-14,split,10.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2020&to_date=14-09-2020,2026-09-24 14:42:34 UTC
EICHERMOT,2020-08-24,split,10.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2020&to_date=14-09-2020,2026-09-24 14:42:34 UTC
