scrip_name,snapshot_frequency,pct_snapshots,mapping_status,symbol,isin,confidence,flags,source_tier
Vardhman Textiles Ltd.,57,100.0,proposed,VTL,INE825A01020,high,listing_after_first_seen,review_high
Bombay Burmah Trading Corporation Ltd.,57,100.0,proposed,BBTC,INE050A01025,high,,review_high
Exide Industries Ltd.,57,100.0,proposed,EXIDEIND,INE302A01020,high,listing_after_first_seen,review_high
Strides Arcolab Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Berger Paints India Ltd.,57,100.0,proposed,BERGEPAINT,INE463A01038,low,listing_after_first_seen;unsourced,review_low
Amara Raja Batteries Ltd.,57,100.0,proposed,ARE&M,INE885A01032,low,name_mismatch;listing_after_first_seen,unresolved
E.I.D. Parry (India) Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
TV18 Broadcast Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Whirlpool of India Ltd.,57,100.0,proposed,WHIRLPOOL,INE716A01013,high,listing_after_first_seen,unknown
MindTree Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Development Credit Bank Ltd,57,100.0,unresolved,,,low,no_candidate,unresolved
Kansai Nerolac Paints Ltd.,57,100.0,proposed,KANSAINER,INE531A01024,high,listing_after_first_seen,review_high
Infotech Enterprises Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Tata Elxsi Ltd.,57,100.0,proposed,TATAELXSI,INE670A01012,high,listing_after_first_seen,review_high
Eicher Motors Ltd.,57,100.0,proposed,EICHERMOT,INE066A01021,high,listing_after_first_seen;alias_target_of(Eicher Ltd.),review_high
Steel Authority of India Ltd.,57,100.0,proposed,SAIL,INE114A01011,high,concurrent_alias_collision;alias_target_of(Gas Authority of India Limited),review_high
Piramal Enterprises Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
MMTC Ltd.,57,100.0,proposed,MMTC,INE123F01029,high,listing_after_first_seen,review_high
Astral Poly Technik Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Vakrangee Software Ltd.,57,100.0,proposed,VAKRANGEE,INE051B01021,medium,name_variant,review_medium
Siti Cable Network Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
L&T Finance Holdings Ltd.,57,100.0,proposed,LTF,INE498L01015,high,name_variant,review_high
JK Lakshmi Cement Ltd.,57,100.0,proposed,JKLAKSHMI,INE786A01032,high,listing_after_first_seen,unknown
Bombay Dyeing & Manufacturing Co. Ltd.,57,100.0,proposed,BOMDYEING,INE032A01023,low,name_mismatch,review_medium
Himachal Fut Com Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Fag Bearings India Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Sobha Developers Ltd.,57,100.0,proposed,SOBHA,INE671H01015,medium,name_variant;concurrent_alias_collision,review_medium
Sadbhav Engineering Ltd,57,100.0,proposed,SADBHAV,INE226H01026,high,concurrent_alias_collision,review_high
SKS Microfinance Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Great Eastern Shipping Co. Ltd.,57,100.0,proposed,GESHIP,INE017A01032,high,name_variant;listing_after_first_seen,review_high
CARE Ltd.,57,100.0,proposed,CARERATING,INE752H01013,medium,name_variant;concurrent_alias_collision,review_medium
Indiabulls Real Estate Ltd.,57,100.0,proposed,TREL,INE0O3901029,medium,first_token_mismatch;listing_after_first_seen,review_medium
Bharti Infratel Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
V.I.P. Industries Ltd.,57,100.0,proposed,VGUARD,INE951I01027,medium,listing_after_first_seen;concurrent_alias_collision,review_low
Kalpataru Power Transmission Ltd.,57,100.0,proposed,OMPOWER,INE25E901019,medium,first_token_mismatch;listing_after_first_seen,review_medium
I T C Ltd.,57,100.0,proposed,TTL,INE592B01024,medium,name_variant;listing_after_first_seen,review_medium
Welspun India Ltd.,57,100.0,proposed,WELCORP,INE191B01025,high,listing_after_first_seen;concurrent_alias_collision,review_high
Jubilant Life Sciences Ltd.,57,100.0,proposed,ALIVUS,INE03Q201024,medium,first_token_mismatch;listing_after_first_seen,review_medium
Greaves Cotton Ltd.,57,100.0,proposed,GREAVESCOT,INE224A01026,high,listing_after_first_seen,unknown
Neyveli Lignite Corporation Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
India Infoline Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Merck Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Indiabulls Securities Ltd.,57,100.0,proposed,IBULLSLTD,INE126M01010,medium,name_variant;listing_after_first_seen;concurrent_alias_collision,review_medium
Tata Steel Ltd.,57,100.0,proposed,TATASTEEL,INE081A01020,high,listing_after_first_seen;alias_target_of(Tata Steel BSL Ltd.),review_high
Hindustan Zinc Ltd.,57,100.0,proposed,HINDZINC,INE267A01025,high,listing_after_first_seen,review_high
Future Consumer Enterprise Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Sanofi India Ltd.,57,100.0,proposed,SANOFI,INE058A01010,high,listing_after_first_seen,review_high
Magma Fincorp Ltd.,54,94.74,unresolved,,,low,no_candidate,unresolved
Jain Irrigation Systems Ltd.,54,94.74,proposed,JISLDVREQS,IN9175A01010,low,"listing_after_first_seen;duplicate_name_collision(JISLDVREQS,JISLJALEQS)",review_low
Dewan Housing Finance Corporation Ltd.,54,94.74,proposed,AADHARHFC,INE883F01010,medium,first_token_mismatch;listing_after_first_seen;concurrent_alias_collision,review_medium
Lakshmi Vilas Bank Ltd.,54,94.74,unresolved,,,low,no_candidate,unresolved
Tata Motors Ltd DVR,54,94.74,proposed,TMCV,INE1TAE01010,medium,name_variant;listing_after_first_seen;concurrent_alias_collision,review_medium
Styrolution ABS (India) Ltd.,54,94.74,unresolved,,,low,no_candidate,unresolved
IDFC Ltd.,54,94.74,unresolved,,,low,no_candidate,unresolved
Take Solutions Ltd.,54,94.74,proposed,TAKE,INE142I01023,medium,name_variant,review_medium
Hitachi Home & Life Solutions (India) Ltd.,54,94.74,unresolved,,,low,no_candidate,unresolved
Mahindra CIE Automotive Ltd.,54,94.74,proposed,CIEINDIA,INE536H01010,medium,first_token_mismatch;name_variant,review_medium
Gujarat Gas Ltd.,54,94.74,unresolved,,,low,no_candidate,unresolved
CCL Products (I) Ltd.,54,94.74,proposed,CCL,INE421D01022,high,,review_medium
Manappuram Finance Ltd.,54,94.74,proposed,MANAPPURAM,INE522D01027,high,listing_after_first_seen,review_high
Adani Transmission Ltd.,54,94.74,unresolved,,,low,no_candidate,unresolved
Honeywell Automation India Ltd.,51,89.47,proposed,HONAUT,INE671A01010,high,listing_after_first_seen,review_high
Zensar Technolgies Ltd.,51,89.47,unresolved,,,low,no_candidate,unresolved
Reliance Capital Ltd.,49,85.96,proposed,RELCAPITAL,INE013A01015,low,first_token_mismatch;name_variant;isin_unverified;unsourced,review_low
Oriental Bank of Commerce,48,84.21,proposed,BANKINDIA,INE084A01016,medium,first_token_mismatch;name_variant;concurrent_alias_collision,review_medium
Allahabad Bank,48,84.21,unresolved,,,low,no_candidate,unresolved
Andhra Bank,48,84.21,unresolved,,,low,no_candidate,unresolved
ITD Cementation India Ltd.,48,84.21,unresolved,,,low,no_candidate,unresolved
Syndicate Bank,48,84.21,unresolved,,,low,no_candidate,unresolved
Tata Chemicals Ltd.,48,84.21,proposed,TATACHEM,INE092A01019,high,listing_after_first_seen,review_high
IDFC Bank Ltd.,48,84.21,proposed,IDFCFIRSTB,INE092T01019,medium,name_variant,review_medium
Equitas Holdings Ltd.,48,84.21,unresolved,,,low,no_candidate,unresolved
Crompton Greaves Ltd.,48,84.21,proposed,CROMPTON,INE299U01018,medium,name_variant;listing_after_first_seen;concurrent_alias_collision,review_medium
Infibeam Incorporation Ltd.,48,84.21,unresolved,,,low,no_candidate,unresolved
GHCL Ltd.,45,78.95,proposed,GHCL,INE539A01019,high,listing_after_first_seen,review_high
Jaiprakash Associates Ltd.,45,78.95,proposed,JPASSOCIAT,INE451D01028,low,first_token_mismatch;name_variant;isin_unverified;unsourced,review_low
Gruh Finance Ltd.,45,78.95,unresolved,,,low,no_candidate,unresolved
Tata Coffee Ltd.,45,78.95,unresolved,,,low,no_candidate,unresolved
GlaxoSmithkline Consumer Healthcare Ltd.,45,78.95,proposed,SANOFICONR,INE0UOS01011,medium,first_token_mismatch;listing_after_first_seen;concurrent_alias_collision,review_medium
Gateway Distriparks Ltd.,45,78.95,proposed,GATEWAY,INE079J01017,high,listing_after_first_seen,review_high
Deepak Fertilisers & Petrochemicals Corp. Ltd.,45,78.95,proposed,DEEPAKFERT,INE501A01019,low,name_mismatch;listing_after_first_seen,review_medium
Essel Propack Ltd.,45,78.95,unresolved,,,low,no_candidate,unresolved
Thomas Cook (India) Ltd.,45,78.95,proposed,THOMASCOOK,INE332A01027,high,listing_after_first_seen,review_high
AstraZenca Pharma India Ltd.,45,78.95,unresolved,,,low,no_candidate,unresolved
KPIT Technologies Ltd.,45,78.95,proposed,KPITTECH,INE04I401011,high,listing_after_first_seen,review_high
SREI Infrastructure Finance Ltd.,45,78.95,unresolved,,,low,no_candidate,unresolved
Gujarat Fluorochemicals Ltd.,45,78.95,proposed,FLUOROCHEM,INE09N301011,high,listing_after_first_seen,review_high
Nava Bharat Ventures Ltd.,45,78.95,unresolved,,,low,no_candidate,unresolved
Tube Investments of India Ltd.,44,77.19,proposed,TIINDIA,INE974X01010,high,listing_after_first_seen,review_high
Advanced Enzyme Tech Ltd.,44,77.19,proposed,ADVENZYMES,INE837H01020,medium,,review_medium
Ujjivan Financial Services Ltd.,44,77.19,proposed,AFSL,INE00ZE01026,medium,first_token_mismatch;listing_after_first_seen,review_medium
Jet Airways (India) Ltd.,42,73.68,unresolved,,,low,no_candidate,unresolved
Minda Industries Ltd.,42,73.68,proposed,MINDACORP,INE842C01021,medium,name_variant;concurrent_alias_collision,review_medium
Larsen & Toubro Infotech Ltd.,42,73.68,proposed,LT,INE018A01030,medium,name_variant;concurrent_alias_collision,review_high
Jindal Saw Ltd.,40,70.18,proposed,JINDALSAW,INE324A01032,high,listing_after_first_seen,review_high
Cox & Kings Ltd.,39,68.42,unresolved,,,low,no_candidate,unresolved
Eveready Industries India Ltd.,39,68.42,proposed,EVEREADY,INE128A01029,high,listing_after_first_seen,review_high
Century Textile & Industries Ltd.,39,68.42,unresolved,,,low,no_candidate,unresolved
PTC India Fin Serv Ltd.,39,68.42,unresolved,,,low,no_candidate,unresolved
Eros Intl Media Ltd.,39,68.42,unresolved,,,low,no_candidate,unresolved
Hindustan Construction Co. Ltd.,39,68.42,proposed,HCC,INE549A01026,high,name_variant;listing_after_first_seen,review_high
GVK Power & Infrastructures Ltd.,39,68.42,proposed,GENUSPOWER,INE955D01029,medium,first_token_mismatch,review_medium
Unichem Laboratories Ltd.,39,68.42,proposed,UNICHEMLAB,INE351A01035,high,listing_after_first_seen,review_high
Linde India Ltd.,39,68.42,proposed,LINDEINDIA,INE473A01011,high,listing_after_first_seen,review_high
Tata Sponge Iron Ltd.,39,68.42,unresolved,,,low,no_candidate,unresolved
VST Industries Ltd.,39,68.42,proposed,VSTIND,INE710A01016,high,listing_after_first_seen,review_high
Dalmia Bharat Ltd.,39,68.42,proposed,DALBHARAT,INE00R701025,high,listing_after_first_seen,review_high
Corporation Bank,38,66.67,proposed,AXISBANK,INE238A01034,medium,first_token_mismatch;name_variant;concurrent_alias_collision,review_medium
Dena Bank,37,64.91,unresolved,,,low,no_candidate,unresolved
Vijaya Bank,37,64.91,unresolved,,,low,no_candidate,unresolved
Monsanto India Ltd.,36,63.16,unresolved,,,low,no_candidate,unresolved
Capital First Ltd.,36,63.16,unresolved,,,low,no_candidate,unresolved
HSIL Ltd.,36,63.16,unresolved,,,low,no_candidate,unresolved
Texmaco Rail & Eng. Ltd.,36,63.16,proposed,TEXRAIL,INE621L01012,medium,,review_medium
Manpasand Beverages Ltd.,36,63.16,unresolved,,,low,no_candidate,unresolved
8K Miles Soft Services Ltd.,36,63.16,unresolved,,,low,no_candidate,unresolved
Jindal Stainless (Hisar) Ltd.,36,63.16,proposed,JSL,INE220G01021,medium,name_variant;concurrent_alias_collision,review_medium
Indiabulls Ventures Ltd.,36,63.16,proposed,IBULLSLTD,INE126M01010,medium,name_variant;concurrent_alias_collision,review_medium
Future Retail Ltd.,34,59.65,unresolved,,,low,no_candidate,unresolved
Gati Ltd.,33,57.89,unresolved,,,low,no_candidate,unresolved
Graphite India Ltd.,33,57.89,proposed,GRAPHITE,INE371A01025,high,listing_after_first_seen,review_high
H.E.G. Ltd.,33,57.89,proposed,HGINFRA,INE926X01010,low,name_mismatch;listing_after_first_seen,review_low
Ballarpur Industries Ltd.,33,57.89,unresolved,,,low,no_candidate,unresolved
JBF Industries Ltd.,33,57.89,unresolved,,,low,no_candidate,unresolved
Bhushan Steel Ltd.,33,57.89,unresolved,,,low,no_candidate,unresolved
Unitech Ltd.,33,57.89,proposed,UNITECH,INE694A01020,high,listing_after_first_seen,review_high
D B Realty Ltd.,33,57.89,proposed,DBCORP,INE950I01011,medium,name_variant;concurrent_alias_collision,review_medium
Max India Ltd.,33,57.89,proposed,MAXIND,INE0CG601016,high,listing_after_first_seen,review_high
Techno Elt & Eng Co. Ltd.,32,56.14,unresolved,,,low,no_candidate,unresolved
TI Financial Holdings Ltd.,31,54.39,proposed,CHOLAHLDNG,INE149A01033,medium,first_token_mismatch,review_medium
Mahanagar Telephone Nigam Ltd.,30,52.63,proposed,MTNL,INE153A01019,high,listing_after_first_seen,review_high
Kwality Ltd.,30,52.63,proposed,KPL,INE552U01010,medium,name_variant;listing_after_first_seen,review_medium
SML Isuzu Ltd.,30,52.63,unresolved,,,low,no_candidate,unresolved
Security and Intelligence Services (India) Ltd.,30,52.63,unresolved,,,low,no_candidate,unresolved
Videocon Industries Ltd.,27,47.37,unresolved,,,low,no_candidate,unresolved
Aster DM Healthcare Ltd.,27,47.37,proposed,ASTERDM,INE914M01019,low,name_mismatch,review_low
Ingersoll Rand (India) Ltd.,24,42.11,proposed,INGERRAND,INE177A01018,high,listing_after_first_seen,review_high
Bombay Rayon Fashions Ltd.,24,42.11,unresolved,,,low,no_candidate,unresolved
ICICI Securities Ltd.,24,42.11,unresolved,,,low,no_candidate,unresolved
Phillips Carbon Black Ltd.,24,42.11,unresolved,,,low,no_candidate,unresolved
HDFC Standard Life Insurance Company Ltd.,24,42.11,proposed,HDFCLIFE,INE795G01014,high,name_variant;concurrent_alias_collision,review_high
Reliance Nippon Life Asset Management Ltd.,24,42.11,proposed,NAM-INDIA,INE298J01013,high,first_token_mismatch;name_variant,review_high
Venky's (India) Ltd.,24,42.11,proposed,VENKEYS,INE398A01010,high,listing_after_first_seen,review_high
Polaris Consulting & Services Ltd.,23,40.35,unresolved,,,low,no_candidate,unresolved
