scrip_name,snapshot_frequency,pct_snapshots,mapping_status,symbol,isin,confidence,flags,source_tier
United Bank of India,6,10.53,proposed,BANKINDIA,INE084A01016,medium,first_token_mismatch;name_variant;concurrent_alias_collision,review_medium
Kennametal India Ltd.,6,10.53,proposed,KENNAMET,INE717A01029,high,listing_after_first_seen,review_high
Sterling And Wilson Solar Ltd.,6,10.53,proposed,SWSOLAR,INE00M201021,medium,,review_medium
Advanta Ltd.,4,7.02,unresolved,,,low,no_candidate,unresolved
Star Ferro & Cement Ltd.,4,7.02,proposed,STARCEMENT,INE460H01021,medium,name_variant;listing_after_first_seen,review_medium
OCL India Ltd.,4,7.02,unresolved,,,low,no_candidate,unresolved
Rico Auto Industries Ltd.,3,5.26,proposed,RICOAUTO,INE209B01025,high,listing_after_first_seen,review_high
Munjal Showa Ltd.,3,5.26,proposed,MUNJALSHOW,INE577A01027,high,listing_after_first_seen,review_high
S.E. Investments Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Automotive Axles Ltd.,3,5.26,proposed,AUTOAXLES,INE449A01011,high,listing_after_first_seen,review_high
NIIT Ltd.,3,5.26,proposed,NIITLTD,INE161A01038,high,listing_after_first_seen;alias_target_of(NIIT Technologies Ltd.),review_high
LG Balakrishnan & Bros Ltd.,3,5.26,proposed,LGBBROSLTD,INE337A01034,high,listing_after_first_seen,review_high
Sona Koyo Steering Systems Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Oswal Chemicals & Fertilizers Ltd.,3,5.26,proposed,CHAMBLFERT,INE085A01013,medium,first_token_mismatch;concurrent_alias_collision,review_medium
Gitanjali Gems Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Gammon Infrastructure Projects Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
MBL Infrastructures Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Geojit BNP Paribas Financial Services Ltd.,3,5.26,proposed,GEOJITFSL,INE007B01023,medium,name_variant,review_medium
Mercator Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Agro Tech Foods Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Opto Circuits (I) Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Adlabs Entertainment Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Metalyst Forgings Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Uttam Galva Steels Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Flexituff International Ltd.,3,5.26,proposed,FLEXITUFF,INE060J01017,medium,name_variant,review_medium
Geometric Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Shrenuj & Co. Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
NDTV Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Usha Martin Ltd.,3,5.26,proposed,USHAMART,INE228A01035,high,listing_after_first_seen;alias_target_of(Usha (India) Ltd.),review_high
IVRCL Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
Srikalahasthi Pipes Ltd.,3,5.26,unresolved,,,low,no_candidate,unresolved
IIFL Wealth Management Ltd.,3,5.26,proposed,NUVAMA,INE531F01023,medium,first_token_mismatch;listing_after_first_seen,review_medium
