scrip_name,symbol,isin,similarity,flags,approval_note
Sundram Fasteners Ltd.,SUNDRMFAST,INE387A01021,1.0,listing_after_first_seen,Verified exact ISIN INE387A01021 in EQUITY_L; name similarity 1.00; official NSE constituent.
Supreme Petrochem Ltd.,SPLPETRO,INE663A01033,1.0,listing_after_first_seen,Verified exact ISIN INE663A01033 in EQUITY_L; name similarity 1.00; official NSE constituent.
TVS Motor Company Ltd.,TVSMOTOR,INE494B01023,1.0,concurrent_alias_collision,Verified exact ISIN INE494B01023 in EQUITY_L; name similarity 1.00; official NSE constituent.
Tata Chemicals Ltd.,TATACHEM,INE092A01019,1.0,listing_after_first_seen,Verified exact ISIN INE092A01019 in EQUITY_L; name similarity 1.00; official NSE constituent.
Tata Elxsi Ltd.,TATAELXSI,INE670A01012,1.0,listing_after_first_seen,Verified exact ISIN INE670A01012 in EQUITY_L; name similarity 1.00; official NSE constituent.
Tata Steel Ltd.,TATASTEEL,INE081A01020,1.0,listing_after_first_seen;concurrent_alias_collision,Verified exact ISIN INE081A01020 in EQUITY_L; name similarity 1.00; official NSE constituent.
Thomas Cook (India) Ltd.,THOMASCOOK,INE332A01027,1.0,listing_after_first_seen,Verified exact ISIN INE332A01027 in EQUITY_L; name similarity 1.00; official NSE constituent.
Torrent Pharmaceuticals Ltd.,TORNTPHARM,INE685A01028,1.0,listing_after_first_seen,Verified exact ISIN INE685A01028 in EQUITY_L; name similarity 1.00; official NSE constituent.
Trent Ltd.,TRENT,INE849A01020,1.0,first_token_mismatch;listing_after_first_seen,Verified exact ISIN INE849A01020 in EQUITY_L; name similarity 1.00; official NSE constituent.
Tube Investments of India Ltd.,TIINDIA,INE974X01010,1.0,listing_after_first_seen,Verified exact ISIN INE974X01010 in EQUITY_L; name similarity 1.00; official NSE constituent.
Unichem Laboratories Ltd.,UNICHEMLAB,INE351A01035,1.0,listing_after_first_seen,Verified exact ISIN INE351A01035 in EQUITY_L; name similarity 1.00; official NSE constituent.
Unitech Ltd.,UNITECH,INE694A01020,1.0,first_token_mismatch;listing_after_first_seen,Verified exact ISIN INE694A01020 in EQUITY_L; name similarity 1.00; official NSE constituent.
Usha Martin Ltd.,USHAMART,INE228A01035,1.0,listing_after_first_seen;concurrent_alias_collision,Verified exact ISIN INE228A01035 in EQUITY_L; name similarity 1.00; official NSE constituent.
VST Industries Ltd.,VSTIND,INE710A01016,1.0,listing_after_first_seen,Verified exact ISIN INE710A01016 in EQUITY_L; name similarity 1.00; official NSE constituent.
Vardhman Textiles Ltd.,VTL,INE825A01020,1.0,listing_after_first_seen,Verified exact ISIN INE825A01020 in EQUITY_L; name similarity 1.00; official NSE constituent.
Venky's (India) Ltd.,VENKEYS,INE398A01010,1.0,listing_after_first_seen,Verified exact ISIN INE398A01010 in EQUITY_L; name similarity 1.00; official NSE constituent.
Vesuvius India Ltd.,VESUVIUS,INE386A01023,1.0,listing_after_first_seen,Verified exact ISIN INE386A01023 in EQUITY_L; name similarity 1.00; official NSE constituent.
Welspun Corp Ltd.,WELCORP,INE191B01025,1.0,listing_after_first_seen;concurrent_alias_collision,Verified exact ISIN INE191B01025 in EQUITY_L; name similarity 1.00; official NSE constituent.
Wockhardt Ltd.,WOCKPHARMA,INE049B01025,1.0,first_token_mismatch;listing_after_first_seen,Verified exact ISIN INE049B01025 in EQUITY_L; name similarity 1.00; official NSE constituent.
Zee Entertainment Enterprises Ltd.,ZEEL,INE256A01028,1.0,listing_after_first_seen,Verified exact ISIN INE256A01028 in EQUITY_L; name similarity 1.00; official NSE constituent.
