symbol,scrip_name,mapping_status,isin,first_seen,last_seen,flags
MAHABANK,Bank of Maharashtra,auto,INE457A01014,2011-10-10,2011-10-10,
MAHLIFE,Mahindra Lifespace Developers Ltd.,auto,INE813A01018,2001-12-07,2020-06-26,
MAHLOG,Mahindra Logistics Ltd.,auto,INE766P01016,2018-09-28,2018-09-28,
MAHSCOOTER,Maharashtra Scooters Ltd.,auto,INE288A01013,1998-08-01,2019-03-29,
MARICO,Marico Ltd.,auto,INE196A01026,1998-08-01,2019-03-29,
MARKSANS,Marksans Pharma Ltd.,auto,INE750C01026,2015-03-27,2018-09-28,
MARUTI,Maruti Suzuki India Ltd.,auto,INE585B01010,2004-03-01,2019-12-27,
MASFIN,MAS Financial Services Ltd.,auto,INE348L01012,2018-04-02,2018-04-02,
MAYURUNIQ,Mayur Uniquoters Ltd.,auto,INE040D01038,2015-03-27,2017-03-31,
MCLEODRUSS,McLeod Russel India Ltd.,auto,INE942G01012,2007-04-04,2019-03-29,
MCX,Multi Commodity Exchange of India Ltd.,auto,INE745G01043,2019-09-27,2020-06-26,
METROPOLIS,Metropolis Healthcare Ltd.,auto,INE112L01020,2019-09-27,2020-06-26,
MFSL,Max Financial Services Ltd.,auto,INE180A01020,2015-09-28,2020-06-26,
MGL,Mahanagar Gas Ltd.,auto,INE002S01010,2017-03-16,2019-09-27,
MHRIL,Mahindra Holidays & Resorts India Ltd.,auto,INE998I01010,2010-04-08,2013-09-27,
MIDHANI,Mishra Dhatu Nigam Ltd.,auto,INE099Z01011,2019-12-26,2020-07-31,
MINDACORP,Minda Corporation Ltd.,auto,INE842C01021,2016-04-01,2017-03-31,alias_target_of(Minda Industries Ltd.)
MOIL,MOIL Ltd.,auto,INE490G01020,2011-05-03,2017-03-31,
MOTILALOFS,Motilal Oswal Financial Services Ltd.,auto,INE338I01027,2009-04-17,2018-04-02,
MRF,MRF Ltd.,auto,INE883A01011,1998-08-01,2019-09-27,
MTEDUCARE,MT Educare Ltd.,auto,INE472M01018,2013-09-27,2016-04-01,
MUTHOOTFIN,Muthoot Finance Ltd.,auto,INE414G01012,2011-10-10,2020-06-26,
NATCOPHARM,NATCO Pharma Ltd.,auto,INE987B01026,2014-01-13,2019-09-27,
NATIONALUM,National Aluminium Co. Ltd.,auto,INE139A01034,1999-04-29,2020-06-26,name_variant;alias_target_of(National Aluminium Co. Ltd. (Old))
NAUKRI,Info Edge (India) Ltd.,auto,INE663F01032,2008-01-28,2020-06-26,
NAVINFLUOR,Navin Fluorine International Ltd.,auto,INE048G01026,2016-09-30,2020-06-26,
NAVKARCORP,Navkar Corporation Ltd.,auto,INE278M01019,2016-04-01,2019-03-29,
NAVNETEDUL,Navneet Education Ltd.,auto,INE060A01024,1998-08-01,2019-09-27,
