symbol,scrip_name,mapping_status,isin,first_seen,last_seen,flags
ARVINDFASN,Arvind Fashions Ltd.,auto,INE955V01021,2019-09-27,2020-06-26,
ASAHIINDIA,Asahi India Glass Ltd.,auto,INE439A01020,2002-09-19,2020-09-14,
ASHIANA,Ashiana Housing Ltd.,auto,INE365D01021,2016-04-01,2016-09-30,
ASHOKA,Ashoka Buildcon Ltd.,auto,INE442H01029,2014-09-19,2016-09-30,
ASHOKLEY,Ashok Leyland Finance Ltd.,proposed,INE208A01029,1998-08-01,2004-07-09,name_variant;concurrent_alias_collision
ASIANPAINT,Asian Paints India Ltd.,proposed,INE021A01026,2003-04-01,2003-04-01,concurrent_alias_collision
ATUL,Atul Ltd.,auto,INE100A01010,1998-08-01,2020-06-26,
AUBANK,AU Small Finance Bank Ltd.,auto,INE949L01017,2017-11-13,2018-04-02,
AUROPHARMA,Aurobindo Pharma Ltd.,auto,INE406A01037,1999-03-17,2020-06-26,listing_after_first_seen
AVANTIFEED,Avanti Feeds Ltd.,auto,INE871C01038,2016-04-01,2019-03-29,
AXISBANK,Axis Bank Ltd.,auto,INE238A01034,2000-09-03,2020-06-26,"alias_target_of(Corporation Bank,UTI Bank Ltd.)"
BAJAJ-AUTO,Bajaj Auto Ltd,auto,INE917I01010,2008-03-14,2008-03-14,listing_after_first_seen
BAJAJELEC,Bajaj Electricals Ltd,auto,INE193E01025,2011-03-25,2018-09-28,
BAJAJFINSV,Bajaj Finserv Ltd.,auto,INE918I01026,2008-09-10,2020-06-26,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,auto,INE118A01012,2008-09-10,2020-06-26,
BAJFINANCE,Bajaj Finance Ltd.,auto,INE296A01032,1998-08-01,2020-06-26,listing_after_first_seen
BALKRISIND,Balkrishna Industries Ltd.,auto,INE787D01026,2012-09-28,2020-06-26,
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,auto,INE164A01016,2002-07-09,2002-07-09,name_variant
BALRAMCHIN,Balrampur Chini Mills Ltd.,auto,INE119A01028,1998-08-01,2019-12-27,
BANDHANBNK,Bandhan Bank Ltd.,auto,INE545U01014,2018-09-28,2020-06-26,
BANKBARODA,Bank of Baroda,auto,INE028A01039,1998-08-01,2019-09-27,
BASF,BASF India Ltd.,auto,INE373A01013,1998-08-01,2018-04-02,
BATAINDIA,Bata India Ltd.,auto,INE176A01028,1998-08-01,2019-06-28,listing_after_first_seen
BAYERCROP,Bayer Cropscience India Ltd. -Erstwhile,proposed,INE462A01022,2000-01-12,2003-11-21,name_variant;listing_after_first_seen;concurrent_alias_collision;predecessor_marker
BDL,Bharat Dynamics Ltd.,auto,INE171Z01026,2018-08-08,2018-08-08,
BEL,Bharat Electronics Ltd.,auto,INE263A01024,1998-08-01,2020-06-26,listing_after_first_seen
BEML,BEML Ltd.,auto,INE258A01024,1998-08-01,2019-03-29,listing_after_first_seen
BFUTILITIE,BF Utilities Ltd.,auto,INE243D01012,2007-09-24,2018-09-28,
BGRENERGY,BGR Energy Systems Ltd,auto,INE661I01014,2010-04-08,2018-09-28,
BHARATRAS,Bharat Rasayan Ltd.,auto,INE838B01021,2020-06-26,2020-06-26,
BHARTIARTL,Bharti Airtel Ltd.,auto,INE397D01024,2003-03-17,2020-06-26,
BHEL,Bharat Heavy Electricals Ltd.,auto,INE257A01026,1997-05-14,2019-12-27,listing_after_first_seen
BIOCON,Biocon Ltd.,auto,INE376G01013,2004-07-12,2019-03-29,
BIRLACORPN,Birla Corporation Ltd.,auto,INE340A01012,1998-08-01,2020-06-26,
BLISSGVS,Bliss GVS Pharma Ltd.,auto,INE416D01022,2016-04-01,2016-04-01,
BLUEDART,Blue Dart Express Ltd.,auto,INE233B01017,1999-09-08,2016-11-15,listing_after_first_seen
BLUESTARCO,Blue Star Infotech Ltd.,proposed,INE472A01039,2002-04-23,2008-09-10,name_variant;concurrent_alias_collision
BOSCHLTD,Bosch Ltd.,auto,INE323A01026,1998-08-01,2018-04-02,listing_after_first_seen
BPCL,Bharat Petroleum Corporation Ltd.,auto,INE029A01011,1997-12-24,2019-09-27,
BRIGADE,Brigade Enterprises Ltd.,auto,INE791I01019,2010-03-09,2017-09-29,
BRITANNIA,Britannia Industries Ltd.,auto,INE216A01030,1998-08-01,2019-09-27,listing_after_first_seen
BSE,BSE Ltd.,auto,INE118H01025,2017-09-29,2020-06-26,
BSOFT,Birlasoft Ltd.,auto,INE836A01035,2019-09-27,2019-09-27,
CAMLINFINE,Camlin Fine Sciences Ltd.,auto,INE052I01032,2015-09-28,2016-04-01,
CANBK,Canara Bank,auto,INE476A01022,2003-05-02,2019-03-29,
CANFINHOME,Can Fin Homes Ltd.,auto,INE477A01020,2002-04-23,2020-06-26,
CAPLIPOINT,Caplin Point Laboratories Ltd.,auto,INE475E01026,2016-04-01,2016-04-01,
CARBORUNIV,Carborundum Universal Ltd.,auto,INE120A01034,1998-08-01,2016-09-30,
CASTROLIND,Castrol (India) Ltd.,auto,INE172A01027,1998-08-01,2014-02-28,listing_after_first_seen
CDSL,Central Depository Services (India) Ltd.,auto,INE736A01011,2018-04-02,2020-06-26,
CEATLTD,Ceat Ltd.,auto,INE482A01020,1998-08-01,2018-06-29,listing_after_first_seen
CENTENKA,Century Enka Ltd.,auto,INE485A01015,1998-08-01,2016-04-01,
CENTRALBK,Central Bank of India,auto,INE483A01010,2008-03-14,2019-03-29,
CENTURYPLY,Century Plyboards (India) Ltd.,auto,INE348B01021,2009-06-23,2016-09-30,
CERA,Cera Sanitaryware Ltd,auto,INE739E01017,2016-04-01,2016-04-01,
CESC,CESC Ltd.,auto,INE486A01021,1998-08-01,2020-06-26,
CGCL,Capri Global Capital Ltd.,auto,INE180C01042,2019-09-27,2019-09-27,
CHALET,Chalet Hotels Ltd.,auto,INE427F01016,2019-06-28,2020-06-26,
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,auto,INE085A01013,1996-09-18,2014-10-29,"alias_target_of(Mangalore Chemicals & Fertilizers Ltd.,Nagarjuna Fertilizers & Chemicals Ltd.,Oswal Chemicals & Fertilizers Ltd.)"
CHENNPETRO,Chennai Petroleum Corporation Ltd.,auto,INE178A01016,1998-08-01,2020-06-26,listing_after_first_seen
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,auto,INE121A01024,1999-02-03,2019-03-29,
CIPLA,Cipla Ltd.,auto,INE059A01026,1998-08-01,2019-09-27,
COALINDIA,Coal India Ltd.,auto,INE522F01014,2011-03-25,2015-03-27,
COCHINSHIP,Cochin Shipyard Ltd.,auto,INE704P01025,2018-02-05,2020-01-24,
COFFEEDAY,Coffee Day Enterprises Ltd.,auto,INE335K01011,2016-09-30,2019-12-26,
COLPAL,Colgate Palmolive (I) Ltd,proposed,INE259A01022,2005-09-26,2005-09-26,listing_after_first_seen
CONCOR,Container Corporation of India Ltd.,auto,INE111A01025,1998-08-01,2018-10-26,
COROMANDEL,Coromandel International Ltd.,auto,INE169A01031,2002-09-19,2020-07-31,
CREDITACC,CreditAccess Grameen Ltd.,auto,INE741K01010,2019-01-28,2020-06-26,
CRISIL,CRISIL Ltd.,auto,INE007A01025,1998-08-01,2018-09-28,
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,auto,INE299U01018,2016-11-15,2020-06-26,alias_target_of(Crompton Greaves Ltd.)
CSBBANK,CSB Bank Ltd.,auto,INE679A01013,2020-06-26,2020-06-26,
CUB,City Union Bank Ltd.,auto,INE491A01021,2002-04-23,2020-06-26,
CUMMINSIND,Cummins India Ltd.,auto,INE298A01020,1998-08-01,2019-06-28,
DABUR,Dabur India Ltd.,auto,INE016A01026,1998-08-01,2019-06-28,listing_after_first_seen
DBCORP,D B Realty Ltd.,proposed,INE950I01011,2010-09-24,2018-09-28,name_variant;concurrent_alias_collision
DBL,Dilip Buildcon Ltd.,auto,INE917M01012,2017-03-31,2019-09-27,
DCAL,Dishman Carbogen Amcis Ltd.,auto,INE385W01011,2018-04-02,2018-04-02,
DEEPAKNTR,Deepak Nitrite Ltd.,auto,INE288B01029,2019-03-29,2020-06-26,
DELTACORP,Delta Corp Ltd.,auto,INE124G01033,2011-03-25,2020-06-26,
DEN,Den Networks Ltd.,auto,INE947J01015,2013-01-14,2019-12-27,
DHANBANK,Dhanlaxmi Bank Ltd.,auto,INE680A01011,2011-10-10,2016-04-01,
DHANUKA,Dhanuka Agritech Ltd.,auto,INE435G01025,2016-04-01,2020-06-26,
DISHTV,Dish TV India Ltd.,auto,INE836F01026,2007-09-24,2020-06-26,
DIVISLAB,Divi's Laboratories Ltd.,auto,INE361B01024,2003-11-21,2020-06-26,
DIXON,Dixon Technologies (India) Ltd.,auto,INE935N01020,2018-04-02,2020-06-26,
DLF,DLF Ltd.,auto,INE271C01023,2007-08-06,2019-09-27,
DMART,Avenue Supermarts Ltd.,auto,INE192R01011,2017-09-05,2020-06-26,
DREDGECORP,Dredging Corporation of India Ltd.,auto,INE506A01018,2004-08-27,2019-03-29,
DRREDDY,Dr. Reddy's Laboratories Ltd.,auto,INE089A01031,1997-05-14,2020-06-26,listing_after_first_seen
DYNAMATECH,Dynamatic Technologies Ltd.,auto,INE221B01012,2009-03-27,2017-03-31,
ECLERX,eClerx Services Ltd.,auto,INE738I01010,2011-10-10,2017-09-29,
EDELWEISS,Edelweiss Financial Services Ltd.,auto,INE532F01054,2008-05-21,2020-06-26,
EIHOTEL,EIH Ltd.,auto,INE230A01023,1998-08-01,2013-04-01,alias_target_of(East India Hotels Ltd)
ELGIEQUIP,Elgi Equipments Ltd.,auto,INE285A01027,1998-08-01,2018-09-28,
EMAMILTD,Emami Ltd.,auto,INE548C01032,2009-10-22,2020-06-26,
ENDURANCE,Endurance Technologies Ltd.,auto,INE913H01037,2017-03-31,2018-04-02,
ENGINERSIN,Engineers India Ltd.,auto,INE510A01028,2000-09-01,2020-06-26,
ENIL,Entertainment Network India Ltd.,auto,INE265F01028,2007-04-04,2018-09-28,
ERIS,Eris Lifesciences Ltd.,auto,INE406M01024,2018-03-13,2019-03-29,
ESABINDIA,ESAB India Ltd.,auto,INE284A01012,1998-08-01,2020-06-26,
FDC,FDC Ltd.,auto,INE258B01022,1998-08-01,2018-09-28,
FINCABLES,Finolex Cables Ltd.,auto,INE235A01022,1998-08-01,2019-09-27,alias_target_of(Finolex Cables Ltd. - Cables - Telecom)
FINEORG,Fine Organic Industries Ltd.,auto,INE686Y01026,2019-03-29,2019-03-29,
FINPIPE,Finolex Industries Ltd.,auto,INE183A01024,1998-08-01,2013-04-01,
FLFL,Future Lifestyle Fashions Ltd.,auto,INE452O01016,2015-09-28,2020-06-26,
FMGOETZE,Federal-Mogul Goetze (India) Ltd.,auto,INE529A01010,1998-08-01,2020-06-26,
FORTIS,Fortis Healthcare Ltd.,auto,INE061F01013,2008-09-10,2019-12-27,
FSL,Firstsource Solutions Ltd.,auto,INE684F01012,2007-09-24,2018-09-28,
GABRIEL,Gabriel India Ltd.,auto,INE524A01029,2013-04-01,2016-04-01,
GAIL,GAIL (India) Ltd.,auto,INE129A01019,1998-08-01,2020-06-26,
GALAXYSURF,Galaxy Surfactants Ltd.,auto,INE600K01018,2018-09-28,2018-09-28,
GARFIBRES,Garware Technical Fibres Ltd.,auto,INE276A01018,2019-09-27,2019-09-27,
GAYAPROJ,Gayatri Projects Ltd.,auto,INE336H01023,2015-12-14,2020-06-26,
GICRE,General Insurance Corporation of India,auto,INE481Y01014,2018-04-02,2018-09-28,
GIPCL,Gujarat Industries Power Co. Ltd.,auto,INE162A01010,1998-08-01,2016-04-01,name_variant
GLENMARK,Glenmark Pharmaceuticals Ltd.,auto,INE935A01035,2001-04-25,2020-06-26,
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,auto,INE131A01031,1999-05-26,2019-09-27,
GMMPFAUDLR,GMM Pfaudler Ltd.,auto,INE541A01023,2020-06-26,2020-06-26,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,auto,INE113A01013,1998-08-01,2020-06-26,
GODFRYPHLP,Godfrey Phillips India Ltd.,auto,INE260B01028,1998-08-01,2017-01-10,
GODREJAGRO,Godrej Agrovet Ltd.,auto,INE850D01014,2018-04-02,2018-04-02,
GODREJCP,Godrej Consumer Products Ltd.,auto,INE102D01028,2002-11-11,2019-03-29,
GODREJIND,Godrej Industries Ltd.,auto,INE233A01035,2004-03-15,2020-06-26,
GODREJPROP,Godrej Properties Ltd.,auto,INE484J01027,2010-10-01,2020-06-26,
GPPL,Gujarat Pipavav Port Ltd.,auto,INE517F01014,2011-10-10,2018-04-02,
GRANULES,Granules India Ltd.,auto,INE101D01020,2016-04-01,2020-06-26,
GRASIM,Grasim Industries Ltd.,auto,INE047A01021,1998-08-01,2019-09-27,
GREENPLY,Greenply Industries Ltd.,auto,INE461C01038,2016-04-01,2019-03-29,
GRINDWELL,Grindwell Norton Ltd.,auto,INE536A01023,1998-08-01,2018-09-28,listing_after_first_seen
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,auto,INE382Z01011,2020-06-26,2020-06-26,
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,auto,INE026A01025,1998-08-01,2020-06-26,alias_target_of(Gujarat State Petronet Ltd.)
GTLINFRA,GTL Infrastructure Ltd.,auto,INE221H01019,2007-09-24,2016-04-01,
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,auto,INE186A01019,1998-08-01,2018-04-02,name_variant;alias_target_of(Punjab Alkalies & Chemicals Ltd.)
GULFOILLUB,Gulf Oil India Ltd.-Old,proposed,INE635Q01029,1999-12-08,2002-09-19,listing_after_first_seen;predecessor_marker
HAL,Hindustan Aeronautics Ltd.,auto,INE066F01020,2018-09-28,2018-09-28,
HATHWAY,Hathway Cable & Datacom Ltd.,auto,INE982F01036,2011-01-20,2020-06-26,
HATSUN,Hatsun Agro Product Ltd.,auto,INE473B01035,2018-02-05,2018-02-05,
HCL-INSYS,HCL Infosystems Ltd,auto,INE236A01020,2000-01-12,2000-05-24,
HCLTECH,HCL Technologies Ltd.,auto,INE860A01027,2001-01-01,2019-03-29,
HDFCAMC,HDFC Asset Management Company Ltd.,auto,INE127D01025,2019-03-29,2020-06-26,
HDFCBANK,HDFC Bank Ltd.,auto,INE040A01034,1998-08-01,2019-03-29,
HDIL,Housing Development and Infrastructure Ltd.,auto,INE191I01012,2007-08-27,2018-09-28,
HEIDELBERG,HeidelbergCement India Ltd.,auto,INE578A01017,1998-08-01,2016-04-01,
HERITGFOOD,Heritage Foods Ltd.,auto,INE978A01027,2002-09-19,2017-09-29,
HIMATSEIDE,Himatsingka Seide Ltd.,auto,INE049A01027,1998-08-01,2019-03-29,
HINDALCO,Hindalco Industries Ltd.,auto,INE038A01020,1998-08-01,2020-07-31,
HINDCOPPER,Hindustan Copper Ltd.,auto,INE531E01026,2010-10-01,2018-04-02,
HINDUNILVR,Hindustan Unilever Ltd.,auto,INE030A01027,1998-08-01,2018-09-28,
HSCL,Himadri Speciality Chemical Ltd.,auto,INE019C01026,2018-04-02,2018-04-02,
HTMEDIA,HT Media Ltd.,auto,INE501G01024,2006-03-02,2018-06-29,
HUDCO,Housing & Urban Development Corporation Ltd.,auto,INE031A01017,2017-10-30,2018-04-02,
ICICIBANK,ICICI Bank Ltd,auto,INE090A01021,2002-01-25,2002-01-25,
ICICIGI,ICICI Lombard General Insurance Company Ltd.,auto,INE765G01017,2018-04-02,2020-06-26,
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,auto,INE726G01019,2017-03-31,2020-06-26,
ICIL,Indo Count Industries Ltd.,auto,INE483B01026,2016-04-01,2019-03-29,
ICRA,ICRA Ltd.,auto,INE725G01011,2012-04-27,2019-03-29,
