trading_date,status,records_extracted,size_bytes,source
2016-08-10,SUCCESS,361,61396,download
2016-08-11,SUCCESS,362,60933,download
2016-08-16,SUCCESS,363,60885,download
2016-08-17,SUCCESS,363,60628,download
2016-08-18,SUCCESS,363,61454,download
2016-08-19,SUCCESS,363,61484,download
2016-08-22,SUCCESS,363,61763,download
2016-08-23,SUCCESS,363,61530,download
2016-08-24,SUCCESS,363,61339,download
2016-08-25,SUCCESS,363,61089,download
2016-08-26,SUCCESS,363,61131,download
2016-08-29,SUCCESS,363,61261,download
2016-08-30,SUCCESS,363,61629,download
2016-08-31,SUCCESS,364,61891,download
2016-09-01,SUCCESS,364,62108,download
2016-09-02,SUCCESS,364,61149,download
2016-09-06,SUCCESS,364,62313,download
2016-09-07,SUCCESS,364,62410,download
2016-09-08,SUCCESS,364,62385,download
2016-09-09,SUCCESS,364,62496,download
2016-09-12,SUCCESS,364,61884,download
2016-09-14,SUCCESS,364,62056,download
2016-09-15,SUCCESS,364,61649,download
2016-09-16,SUCCESS,364,62783,download
2016-09-19,SUCCESS,364,62131,download
2016-09-20,SUCCESS,364,61993,download
2016-09-21,SUCCESS,364,62428,download
2016-09-22,SUCCESS,364,62414,download
2016-09-23,SUCCESS,365,62318,download
2016-09-26,SUCCESS,365,61828,download
2016-09-27,SUCCESS,365,62026,download
2016-09-28,SUCCESS,365,62534,download
2016-09-29,SUCCESS,366,63784,download
2016-09-30,SUCCESS,366,61896,download
2016-10-03,SUCCESS,366,62685,download
2016-10-04,SUCCESS,366,62329,download
2016-10-05,SUCCESS,366,62843,download
2016-10-06,SUCCESS,366,63149,download
2016-10-07,SUCCESS,366,62432,download
2016-10-10,SUCCESS,366,62349,download
2016-10-13,SUCCESS,366,62580,download
2016-10-14,SUCCESS,366,62442,download
2016-10-17,SUCCESS,366,63329,download
2016-10-18,SUCCESS,366,63285,download
2016-10-19,SUCCESS,367,63571,download
2016-10-20,SUCCESS,367,63614,download
2016-10-21,SUCCESS,367,63382,download
2016-10-24,SUCCESS,367,63494,download
2016-10-25,SUCCESS,367,63045,download
2016-10-26,SUCCESS,367,63285,download
2016-10-27,SUCCESS,367,62534,download
2016-10-28,SUCCESS,367,62981,download
2016-11-01,SUCCESS,367,63297,download
2016-11-02,SUCCESS,367,62849,download
2016-11-03,SUCCESS,367,63206,download
2016-11-04,SUCCESS,367,63109,download
2016-11-07,SUCCESS,368,62721,download
2016-11-08,SUCCESS,369,62135,download
2016-11-09,SUCCESS,369,62558,download
2016-11-10,SUCCESS,369,62217,download
2016-11-11,SUCCESS,369,61853,download
2016-11-15,SUCCESS,369,62896,download
2016-11-16,SUCCESS,369,61737,download
2016-11-17,SUCCESS,369,61251,download
2016-11-18,SUCCESS,369,60912,download
2016-11-21,SUCCESS,369,62201,download
2016-11-22,SUCCESS,369,61530,download
2016-11-23,SUCCESS,369,61156,download
2016-11-24,SUCCESS,369,60688,download
2016-11-25,SUCCESS,369,61810,download
2016-11-28,SUCCESS,369,61566,download
2016-11-29,SUCCESS,370,61500,download
2016-11-30,SUCCESS,370,61020,download
2016-12-01,SUCCESS,369,61204,download
2016-12-02,SUCCESS,369,61055,download
2016-12-05,SUCCESS,369,61380,download
2016-12-06,SUCCESS,370,61514,download
2016-12-07,SUCCESS,369,61115,download
2016-12-08,SUCCESS,369,61254,download
2016-12-09,SUCCESS,370,62090,download
2016-12-12,SUCCESS,370,60589,download
2016-12-13,SUCCESS,370,61486,download
2016-12-14,SUCCESS,370,60927,download
2016-12-15,SUCCESS,371,60954,download
2016-12-16,SUCCESS,371,60815,download
2016-12-19,SUCCESS,372,61236,download
2016-12-20,SUCCESS,372,61137,download
2016-12-21,SUCCESS,372,60878,download
2016-12-22,SUCCESS,372,61089,download
2016-12-23,SUCCESS,372,61267,download
2016-12-26,SUCCESS,372,61267,download
2016-12-27,SUCCESS,372,61179,download
2016-12-28,SUCCESS,372,60891,download
2016-12-29,SUCCESS,372,60618,download
2016-12-30,SUCCESS,373,61159,download
2017-01-02,SUCCESS,373,61571,download
2017-01-03,SUCCESS,373,62283,download
2017-01-04,SUCCESS,373,61904,download
2017-01-05,SUCCESS,373,62335,download
2017-01-06,SUCCESS,373,62037,download
2017-01-09,SUCCESS,373,62447,download
2017-01-10,SUCCESS,373,62276,download
2017-01-11,SUCCESS,373,62909,download
2017-01-12,SUCCESS,373,62876,download
2017-01-13,SUCCESS,373,62045,download
2017-01-16,SUCCESS,373,62916,download
2017-01-17,SUCCESS,373,62733,download
2017-01-18,SUCCESS,373,62410,download
2017-01-19,SUCCESS,373,62525,download
2017-01-20,SUCCESS,373,62627,download
2017-01-23,SUCCESS,373,62993,download
2017-01-24,SUCCESS,373,62545,download
2017-01-25,SUCCESS,373,63133,download
2017-01-27,SUCCESS,373,63465,download
2017-01-30,SUCCESS,373,63563,download
2017-01-31,SUCCESS,373,62911,download
2017-02-01,SUCCESS,373,62963,download
2017-02-02,SUCCESS,373,63178,download
2017-02-03,SUCCESS,374,63433,download
2017-02-06,SUCCESS,374,64364,download
2017-02-07,SUCCESS,374,64038,download
2017-02-08,SUCCESS,374,63308,download
2017-02-09,SUCCESS,375,64111,download
2017-02-10,SUCCESS,374,63905,download
2017-02-13,SUCCESS,374,63908,download
2017-02-14,SUCCESS,374,63286,download
2017-02-15,SUCCESS,374,63394,download
2017-02-16,SUCCESS,374,62958,download
2017-02-17,SUCCESS,374,63121,download
2017-02-20,SUCCESS,374,63349,download
2017-02-21,SUCCESS,374,62753,download
2017-02-22,SUCCESS,374,63101,download
2017-02-23,SUCCESS,374,63015,download
2017-02-27,SUCCESS,374,63972,download
2017-02-28,SUCCESS,374,63636,download
2017-03-01,SUCCESS,375,63926,download
2017-03-02,SUCCESS,374,63886,download
2017-03-03,SUCCESS,374,63637,download
2017-03-06,SUCCESS,374,64190,download
2017-03-07,SUCCESS,374,63370,download
2017-03-08,SUCCESS,374,63349,download
2017-03-09,SUCCESS,374,63306,download
2017-03-10,SUCCESS,374,63176,download
2017-03-14,SUCCESS,374,64438,download
2017-03-15,SUCCESS,374,64312,download
2017-03-16,SUCCESS,375,64352,download
2017-03-17,SUCCESS,374,64647,download
2017-03-20,SUCCESS,374,64400,download
2017-03-21,SUCCESS,375,64059,download
2017-03-22,SUCCESS,375,64041,download
2017-03-23,SUCCESS,376,64054,download
2017-03-24,SUCCESS,376,64071,download
2017-03-27,SUCCESS,377,64590,download
2017-03-28,SUCCESS,376,64498,download
2017-03-29,SUCCESS,376,65173,download
2017-03-30,SUCCESS,376,63526,download
2017-03-31,SUCCESS,377,64159,download
2017-04-03,SUCCESS,377,65253,download
2017-04-05,SUCCESS,377,65851,download
2017-04-06,SUCCESS,377,65073,download
2017-04-07,SUCCESS,377,65781,download
2017-04-10,SUCCESS,377,65458,download
2017-04-11,SUCCESS,378,65281,download
2017-04-12,SUCCESS,377,64845,download
2017-04-13,SUCCESS,378,64625,download
2017-04-17,SUCCESS,377,65958,download
2017-04-18,SUCCESS,378,65893,download
2017-04-19,SUCCESS,377,64969,download
2017-04-20,SUCCESS,378,64806,download
2017-04-21,SUCCESS,378,65748,download
2017-04-24,SUCCESS,378,65784,download
2017-04-25,SUCCESS,377,65849,download
2017-04-26,SUCCESS,378,65780,download
2017-04-27,SUCCESS,378,64838,download
2017-04-28,SUCCESS,378,64863,download
2017-05-02,SUCCESS,378,66103,download
2017-05-03,SUCCESS,378,65549,download
2017-05-04,SUCCESS,377,65286,download
2017-05-05,SUCCESS,378,65215,download
2017-05-08,SUCCESS,377,64971,download
