test_id,test_description,requested_start_date,requested_end_date,run_date,clamped_start_date,clamped_end_date,warning_emitted,warning_message,effective_trading_days,final_portfolio_value,cagr_pct,max_dd_pct,realized_pnl,unrealized_pnl,accounting_residual,output_sha256,is_bit_identical_to_baseline
1,Baseline In-Bounds Window,2016-01-04,2020-09-14,2026-09-25,2016-01-04,2020-09-14,False,None (In-Bounds),1154,17694873.9,12.92,48.03,2831528.35,4863345.55,-0.0,6b473ca513d86f8c0cf98c49bb4db792cfe036c68addc12599d9f08e3b4175c4,True
2,Out-of-Bounds Clamping (2021-01-01),2016-01-04,2021-01-01,2026-09-25,2016-01-04,2020-09-14,True,WARNING: Requested end date '2021-01-01' exceeds covered_end '2020-09-14'. Clamping to '2020-09-14'. Universe coverage: 1998-08-01 to 2020-09-14.,1154,17694873.9,12.92,48.03,2831528.35,4863345.55,-0.0,6b473ca513d86f8c0cf98c49bb4db792cfe036c68addc12599d9f08e3b4175c4,True
3,Out-of-Bounds Clamping (2022-12-31),2016-01-04,2022-12-31,2026-09-25,2016-01-04,2020-09-14,True,WARNING: Requested end date '2022-12-31' exceeds covered_end '2020-09-14'. Clamping to '2020-09-14'. Universe coverage: 1998-08-01 to 2020-09-14.,1154,17694873.9,12.92,48.03,2831528.35,4863345.55,-0.0,6b473ca513d86f8c0cf98c49bb4db792cfe036c68addc12599d9f08e3b4175c4,True
4,Run-Date Invariance (2024-01-01),2016-01-04,2021-01-01,2024-01-01,2016-01-04,2020-09-14,True,WARNING: Requested end date '2021-01-01' exceeds covered_end '2020-09-14'. Clamping to '2020-09-14'. Universe coverage: 1998-08-01 to 2020-09-14.,1154,17694873.9,12.92,48.03,2831528.35,4863345.55,-0.0,6b473ca513d86f8c0cf98c49bb4db792cfe036c68addc12599d9f08e3b4175c4,True
5,Run-Date Invariance (2020-09-15),2016-01-04,2021-01-01,2020-09-15,2016-01-04,2020-09-14,True,WARNING: Requested end date '2021-01-01' exceeds covered_end '2020-09-14'. Clamping to '2020-09-14'. Universe coverage: 1998-08-01 to 2020-09-14.,1154,17694873.9,12.92,48.03,2831528.35,4863345.55,-0.0,6b473ca513d86f8c0cf98c49bb4db792cfe036c68addc12599d9f08e3b4175c4,True
